factor,update_method,algorithm,builds_saved
-1,random_linear,BATCHSTOP4,59.67336683
-1,random_linear,BATCHDIVIDE4,44.97487437
-1,random_exponential,BATCHBISECT,49.93718593
-1,random_exponential,BATCHSTOP4,59.23366834
-1,random_exponential,BATCHDIVIDE4,49.56030151
2,linear,BATCHBISECT,8.892238131
3,linear,BATCHBISECT,10.02260739
4,linear,BATCHBISECT,8.214016579
2,linear,BATCHSTOP4,24.22758101
3,linear,BATCHSTOP4,24.64204974
4,linear,BATCHSTOP4,22.75810098
2,linear,BATCHDIVIDE4,17.14393369
3,linear,BATCHDIVIDE4,18.12358704
4,linear,BATCHDIVIDE4,17.10625471
2,exponential,BATCHBISECT,10.77618689
3,exponential,BATCHBISECT,9.834212509
2,exponential,BATCHSTOP4,25.01883949
3,exponential,BATCHSTOP4,23.51168048
2,exponential,BATCHDIVIDE4,16.95553881
3,exponential,BATCHDIVIDE4,19.55538809
2,stagger,BATCHBISECT,13.639789
3,stagger,BATCHBISECT,13.07460437
2,stagger,BATCHSTOP4,24.86812359
3,stagger,BATCHSTOP4,24.64204974
2,stagger,BATCHDIVIDE4,15.25998493
3,stagger,BATCHDIVIDE4,18.12358704
-1,random_linear,BATCHBISECT,12.54709872
-1,random_linear,BATCHSTOP4,24.90580256
-1,random_linear,BATCHDIVIDE4,17.40768651
-1,random_exponential,BATCHBISECT,9.080633007
-1,random_exponential,BATCHSTOP4,22.64506405
-1,random_exponential,BATCHDIVIDE4,16.05124341
2,linear,BATCHBISECT,8.112773303
3,linear,BATCHBISECT,7.911392405
4,linear,BATCHBISECT,7.566168009
2,linear,BATCHSTOP4,26.35212888
3,linear,BATCHSTOP4,26.72612198
4,linear,BATCHSTOP4,26.06444189
2,linear,BATCHDIVIDE4,15.90909091
3,linear,BATCHDIVIDE4,15.96662831
4,linear,BATCHDIVIDE4,14.38434983
2,exponential,BATCHBISECT,6.329113924
3,exponential,BATCHBISECT,5.350978136
2,exponential,BATCHSTOP4,26.63981588
3,exponential,BATCHSTOP4,24.48216341
2,exponential,BATCHDIVIDE4,13.92405063
3,exponential,BATCHDIVIDE4,17.0598389
2,stagger,BATCHBISECT,12.31300345
3,stagger,BATCHBISECT,11.44994246
2,stagger,BATCHSTOP4,26.84119678
3,stagger,BATCHSTOP4,26.29459148
2,stagger,BATCHDIVIDE4,14.15420023
3,stagger,BATCHDIVIDE4,15.85155351
-1,random_linear,BATCHBISECT,8.457997699
-1,random_linear,BATCHSTOP4,26.63981588
-1,random_linear,BATCHDIVIDE4,14.49942463
-1,random_exponential,BATCHBISECT,6.472957422
-1,random_exponential,BATCHSTOP4,24.56846951
-1,random_exponential,BATCHDIVIDE4,15.88032221
2,linear,BATCHBISECT,56.9881202
3,linear,BATCHBISECT,57.2327044
4,linear,BATCHBISECT,57.89657582
2,linear,BATCHSTOP4,65.09433962
3,linear,BATCHSTOP4,65.26904263
4,linear,BATCHSTOP4,65.65338924
2,linear,BATCHDIVIDE4,54.78686233
3,linear,BATCHDIVIDE4,54.29769392
4,linear,BATCHDIVIDE4,54.22781272
2,exponential,BATCHBISECT,58.35080363
3,exponential,BATCHBISECT,55.83508036
2,exponential,BATCHSTOP4,66.21243885
3,exponential,BATCHSTOP4,63.90635919
2,exponential,BATCHDIVIDE4,60.93640811
3,exponential,BATCHDIVIDE4,58.31586303
2,stagger,BATCHBISECT,58.21104123
3,stagger,BATCHBISECT,59.15443746
2,stagger,BATCHSTOP4,65.12928022
3,stagger,BATCHSTOP4,65.61844864
2,stagger,BATCHDIVIDE4,51.15303983
3,stagger,BATCHDIVIDE4,52.34102027
-1,random_linear,BATCHBISECT,57.092942
-1,random_linear,BATCHSTOP4,65.58350804
-1,random_linear,BATCHDIVIDE4,53.31935709
-1,random_exponential,BATCHBISECT,57.40740741
-1,random_exponential,BATCHSTOP4,64.360587
-1,random_exponential,BATCHDIVIDE4,56.32424878
2,linear,BATCHBISECT,42.42248624
3,linear,BATCHBISECT,43.14691394
4,linear,BATCHBISECT,42.62532599
2,linear,BATCHSTOP4,55.11445958
3,linear,BATCHSTOP4,55.43320777
4,linear,BATCHSTOP4,54.65082585
2,linear,BATCHDIVIDE4,44.56679223
3,linear,BATCHDIVIDE4,44.68270067
4,linear,BATCHDIVIDE4,43.29179948
2,exponential,BATCHBISECT,44.74065488
3,exponential,BATCHBISECT,42.85714286
2,exponential,BATCHSTOP4,57.08490293
3,exponential,BATCHSTOP4,54.18719212
2,exponential,BATCHDIVIDE4,46.53723558
3,exponential,BATCHDIVIDE4,49.98551145
2,stagger,BATCHBISECT,47.92813677
3,stagger,BATCHBISECT,47.40654883
2,stagger,BATCHSTOP4,56.24456679
3,stagger,BATCHSTOP4,56.21558968
2,stagger,BATCHDIVIDE4,42.45146334
3,stagger,BATCHDIVIDE4,43.87134164
-1,random_linear,BATCHBISECT,44.82758621
-1,random_linear,BATCHSTOP4,55.11445958
-1,random_linear,BATCHDIVIDE4,42.01680672
-1,random_exponential,BATCHBISECT,44.0741814
-1,random_exponential,BATCHSTOP4,54.41900898
-1,random_exponential,BATCHDIVIDE4,48.7394958
2,linear,BATCHBISECT,9.832802548
3,linear,BATCHBISECT,8.439490446
4,linear,BATCHBISECT,9.116242038
2,linear,BATCHSTOP4,27.66719745
3,linear,BATCHSTOP4,27.90605096
4,linear,BATCHSTOP4,27.22929936
2,linear,BATCHDIVIDE4,14.25159236
3,linear,BATCHDIVIDE4,17.47611465
4,linear,BATCHDIVIDE4,16.64012739
2,exponential,BATCHBISECT,10.66878981
3,exponential,BATCHBISECT,6.926751592
2,exponential,BATCHSTOP4,28.54299363
3,exponential,BATCHSTOP4,25.15923567
2,exponential,BATCHDIVIDE4,18.23248408
3,exponential,BATCHDIVIDE4,18.47133758
2,stagger,BATCHBISECT,16.87898089
3,stagger,BATCHBISECT,12.65923567
2,stagger,BATCHSTOP4,28.9410828
3,stagger,BATCHSTOP4,27.03025478
2,stagger,BATCHDIVIDE4,18.31210191
3,stagger,BATCHDIVIDE4,17.27707006
-1,random_linear,BATCHBISECT,11.06687898
-1,random_linear,BATCHSTOP4,28.34394904
-1,random_linear,BATCHDIVIDE4,14.57006369
-1,random_exponential,BATCHBISECT,5.414012739
-1,random_exponential,BATCHSTOP4,26.1544586
-1,random_exponential,BATCHDIVIDE4,18.11305732
2,linear,BATCHBISECT,66.34720701
3,linear,BATCHBISECT,63.85542169
4,linear,BATCHBISECT,69.60569551
2,linear,BATCHSTOP4,72.83680175
3,linear,BATCHSTOP4,71.33077766
4,linear,BATCHSTOP4,76.91675794
2,linear,BATCHDIVIDE4,59.25520263
3,linear,BATCHDIVIDE4,58.24205915
4,linear,BATCHDIVIDE4,62.43154436
2,exponential,BATCHBISECT,63.52683461
3,exponential,BATCHBISECT,63.66374589
2,exponential,BATCHSTOP4,70.04381161
3,exponential,BATCHSTOP4,71.13910186
2,exponential,BATCHDIVIDE4,60.51478642
3,exponential,BATCHDIVIDE4,67.57940854
2,stagger,BATCHBISECT,62.67798467
3,stagger,BATCHBISECT,64.15662651
2,stagger,BATCHSTOP4,70.50930997
3,stagger,BATCHSTOP4,70.59145674
2,stagger,BATCHDIVIDE4,55.69550931
3,stagger,BATCHDIVIDE4,53.2584885
-1,random_linear,BATCHBISECT,64.3483023
-1,random_linear,BATCHSTOP4,70.94742607
-1,random_linear,BATCHDIVIDE4,54.29901424
-1,random_exponential,BATCHBISECT,64.48521358
-1,random_exponential,BATCHSTOP4,71.60460022
-1,random_exponential,BATCHDIVIDE4,66.89485214
2,linear,BATCHBISECT,39.19565911
3,linear,BATCHBISECT,39.13182253
4,linear,BATCHBISECT,39.45100543
2,linear,BATCHSTOP4,53.62272582
3,linear,BATCHSTOP4,52.7928503
4,linear,BATCHSTOP4,52.98436004
2,linear,BATCHDIVIDE4,41.84487711
3,linear,BATCHDIVIDE4,42.25981487
4,linear,BATCHDIVIDE4,42.32365145
2,exponential,BATCHBISECT,40.95116502
3,exponential,BATCHBISECT,37.85509097
2,exponential,BATCHSTOP4,54.5802745
3,exponential,BATCHSTOP4,51.70762847
2,exponential,BATCHDIVIDE4,43.31311842
3,exponential,BATCHDIVIDE4,46.63262049
2,stagger,BATCHBISECT,40.91924673
3,stagger,BATCHBISECT,43.28120013
2,stagger,BATCHSTOP4,53.1120332
3,stagger,BATCHSTOP4,53.71848069
2,stagger,BATCHDIVIDE4,38.55729333
3,stagger,BATCHDIVIDE4,40.53622726
-1,random_linear,BATCHBISECT,41.20651133
-1,random_linear,BATCHSTOP4,54.03766358
-1,random_linear,BATCHDIVIDE4,41.07883817
-1,random_exponential,BATCHBISECT,39.45100543
-1,random_exponential,BATCHSTOP4,52.25023939
-1,random_exponential,BATCHDIVIDE4,42.67475263
2,linear,BATCHBISECT,54.35870424
3,linear,BATCHBISECT,54.67474322
4,linear,BATCHBISECT,53.77929945
2,linear,BATCHSTOP4,62.36502502
3,linear,BATCHSTOP4,62.60205425
4,linear,BATCHSTOP4,61.46958125
2,linear,BATCHDIVIDE4,52.2781143
3,linear,BATCHDIVIDE4,51.72504609
4,linear,BATCHDIVIDE4,51.88306558
2,exponential,BATCHBISECT,54.51672373
3,exponential,BATCHBISECT,53.41058731
2,exponential,BATCHSTOP4,62.33868844
3,exponential,BATCHSTOP4,61.49591783
2,exponential,BATCHDIVIDE4,51.9884119
3,exponential,BATCHDIVIDE4,58.09849881
2,stagger,BATCHBISECT,54.85909929
3,stagger,BATCHBISECT,54.01632868
2,stagger,BATCHSTOP4,62.15433237
3,stagger,BATCHSTOP4,61.6802739
2,stagger,BATCHDIVIDE4,49.88148538
3,stagger,BATCHDIVIDE4,49.90782196
-1,random_linear,BATCHBISECT,53.72662628
-1,random_linear,BATCHSTOP4,62.07532262
-1,random_linear,BATCHDIVIDE4,52.2781143
-1,random_exponential,BATCHBISECT,54.06900184
-1,random_exponential,BATCHSTOP4,61.04819594
-1,random_exponential,BATCHDIVIDE4,57.25572821
2,linear,BATCHBISECT,35.67383918
3,linear,BATCHBISECT,36.46659117
4,linear,BATCHBISECT,37.05549264
2,linear,BATCHSTOP4,45.32276331
3,linear,BATCHSTOP4,46.11551529
4,linear,BATCHSTOP4,46.22876557
2,linear,BATCHDIVIDE4,34.11098528
3,linear,BATCHDIVIDE4,35.67383918
4,linear,BATCHDIVIDE4,35.10758777
2,exponential,BATCHBISECT,35.80973952
3,exponential,BATCHBISECT,34.15628539
2,exponential,BATCHSTOP4,46.27406569
3,exponential,BATCHSTOP4,44.73386183
2,exponential,BATCHDIVIDE4,34.24688562
3,exponential,BATCHDIVIDE4,39.86409966
2,stagger,BATCHBISECT,38.55039638
3,stagger,BATCHBISECT,38.55039638
2,stagger,BATCHSTOP4,46.34201586
3,stagger,BATCHSTOP4,46.34201586
2,stagger,BATCHDIVIDE4,34.26953567
3,stagger,BATCHDIVIDE4,35.198188
-1,random_linear,BATCHBISECT,38.14269536
-1,random_linear,BATCHSTOP4,46.09286523
-1,random_linear,BATCHDIVIDE4,35.22083805
-1,random_exponential,BATCHBISECT,36.19479049
-1,random_exponential,BATCHSTOP4,45.14156285
-1,random_exponential,BATCHDIVIDE4,41.74405436
2,linear,BATCHBISECT,14.68976102
3,linear,BATCHBISECT,16.1368121
4,linear,BATCHBISECT,16.70686253
2,linear,BATCHSTOP4,32.38324929
3,linear,BATCHSTOP4,31.5939487
4,linear,BATCHSTOP4,30.9361982
2,linear,BATCHDIVIDE4,21.15764087
3,linear,BATCHDIVIDE4,22.10041658
4,linear,BATCHDIVIDE4,20.28064021
2,exponential,BATCHBISECT,15.30366148
3,exponential,BATCHBISECT,14.49243587
2,exponential,BATCHSTOP4,32.01052401
3,exponential,BATCHSTOP4,30.60732296
2,exponential,BATCHDIVIDE4,21.5961412
3,exponential,BATCHDIVIDE4,24.38061829
2,stagger,BATCHBISECT,19.03091427
3,stagger,BATCHBISECT,18.21968866
2,stagger,BATCHSTOP4,31.22122342
3,stagger,BATCHSTOP4,30.45384784
2,stagger,BATCHDIVIDE4,18.89936417
3,stagger,BATCHDIVIDE4,20.08331506
-1,random_linear,BATCHBISECT,17.10151283
-1,random_linear,BATCHSTOP4,31.0677483
-1,random_linear,BATCHDIVIDE4,19.11861434
-1,random_exponential,BATCHBISECT,13.96623547
-1,random_exponential,BATCHSTOP4,29.62069722
-1,random_exponential,BATCHDIVIDE4,21.55229116
2,linear,BATCHBISECT,36.7450438
3,linear,BATCHBISECT,39.7879207
4,linear,BATCHBISECT,37.48271093
2,linear,BATCHSTOP4,51.95942831
3,linear,BATCHSTOP4,51.91332411
4,linear,BATCHSTOP4,50.71461503
2,linear,BATCHDIVIDE4,41.53988013
3,linear,BATCHDIVIDE4,41.44767174
4,linear,BATCHDIVIDE4,41.03273398
2,exponential,BATCHBISECT,41.95481789
3,exponential,BATCHBISECT,38.26648225
2,exponential,BATCHSTOP4,50.76071923
3,exponential,BATCHSTOP4,50.53019825
2,exponential,BATCHDIVIDE4,42.78469341
3,exponential,BATCHDIVIDE4,44.72106962
2,stagger,BATCHBISECT,39.37298294
3,stagger,BATCHBISECT,40.06454587
2,stagger,BATCHSTOP4,51.72890733
3,stagger,BATCHSTOP4,52.23605348
2,stagger,BATCHDIVIDE4,39.32687875
3,stagger,BATCHDIVIDE4,39.88012909
-1,random_linear,BATCHBISECT,39.97233748
-1,random_linear,BATCHSTOP4,52.32826187
-1,random_linear,BATCHDIVIDE4,38.86583679
-1,random_exponential,BATCHBISECT,37.02166897
-1,random_exponential,BATCHSTOP4,50.39188566
-1,random_exponential,BATCHDIVIDE4,42.8307976
2,linear,BATCHBISECT,27.87878788
3,linear,BATCHBISECT,28.85780886
4,linear,BATCHBISECT,29.16083916
2,linear,BATCHSTOP4,34.47552448
3,linear,BATCHSTOP4,35.71095571
4,linear,BATCHSTOP4,35.78088578
2,linear,BATCHDIVIDE4,27.64568765
3,linear,BATCHDIVIDE4,29.02097902
4,linear,BATCHDIVIDE4,28.39160839
2,exponential,BATCHBISECT,28.13519814
3,exponential,BATCHBISECT,27.57575758
2,exponential,BATCHSTOP4,34.82517483
3,exponential,BATCHSTOP4,34.68531469
2,exponential,BATCHDIVIDE4,27.83216783
3,exponential,BATCHDIVIDE4,31.67832168
2,stagger,BATCHBISECT,29.67365967
3,stagger,BATCHBISECT,29.72027972
2,stagger,BATCHSTOP4,35.45454545
3,stagger,BATCHSTOP4,35.36130536
2,stagger,BATCHDIVIDE4,26.82983683
3,stagger,BATCHDIVIDE4,26.87645688
-1,random_linear,BATCHBISECT,29.39393939
-1,random_linear,BATCHSTOP4,35.66433566
-1,random_linear,BATCHDIVIDE4,26.55011655
-1,random_exponential,BATCHBISECT,28.64801865
-1,random_exponential,BATCHSTOP4,34.21911422
-1,random_exponential,BATCHDIVIDE4,30.3030303
2,linear,BATCHBISECT,31.29370629
3,linear,BATCHBISECT,33.41103341
4,linear,BATCHBISECT,33.15850816
2,linear,BATCHSTOP4,44.5998446
3,linear,BATCHSTOP4,45.92074592
4,linear,BATCHSTOP4,44.93006993
2,linear,BATCHDIVIDE4,35.2952603
3,linear,BATCHDIVIDE4,37.31546232
4,linear,BATCHDIVIDE4,36.55788656
2,exponential,BATCHBISECT,34.55710956
3,exponential,BATCHBISECT,31.91530692
2,exponential,BATCHSTOP4,45.95959596
3,exponential,BATCHSTOP4,44.34731935
2,exponential,BATCHDIVIDE4,37.14063714
3,exponential,BATCHDIVIDE4,40.42346542
2,stagger,BATCHBISECT,36.14996115
3,stagger,BATCHBISECT,36.36363636
2,stagger,BATCHSTOP4,45.64879565
3,stagger,BATCHSTOP4,46.38694639
2,stagger,BATCHDIVIDE4,34.26573427
3,stagger,BATCHDIVIDE4,36.22766123
-1,random_linear,BATCHBISECT,35.68376068
-1,random_linear,BATCHSTOP4,46.52292152
-1,random_linear,BATCHDIVIDE4,35.95571096
-1,random_exponential,BATCHBISECT,32.5951826
-1,random_exponential,BATCHSTOP4,44.75524476
-1,random_exponential,BATCHDIVIDE4,39.39393939
2,linear,BATCHBISECT,42.18034993
3,linear,BATCHBISECT,43.39165545
4,linear,BATCHBISECT,44.81830417
2,linear,BATCHSTOP4,54.99327052
3,linear,BATCHSTOP4,56.25841184
4,linear,BATCHSTOP4,58.08882907
2,linear,BATCHDIVIDE4,43.55316285
3,linear,BATCHDIVIDE4,44.68371467
4,linear,BATCHDIVIDE4,46.11036339
2,exponential,BATCHBISECT,44.03768506
3,exponential,BATCHBISECT,41.48048452
2,exponential,BATCHSTOP4,55.66621803
3,exponential,BATCHSTOP4,54.93943472
2,exponential,BATCHDIVIDE4,44.84522207
3,exponential,BATCHDIVIDE4,49.82503365
2,stagger,BATCHBISECT,44.79138627
3,stagger,BATCHBISECT,46.00269179
2,stagger,BATCHSTOP4,55.66621803
3,stagger,BATCHSTOP4,56.71601615
2,stagger,BATCHDIVIDE4,41.29205922
3,stagger,BATCHDIVIDE4,43.01480485
-1,random_linear,BATCHBISECT,44.52220727
-1,random_linear,BATCHSTOP4,56.44683715
-1,random_linear,BATCHDIVIDE4,41.23822342
-1,random_exponential,BATCHBISECT,43.44549125
-1,random_exponential,BATCHSTOP4,55.31628533
-1,random_exponential,BATCHDIVIDE4,48.93674293
2,linear,BATCHBISECT,4.704097117
3,linear,BATCHBISECT,3.208324301
4,linear,BATCHBISECT,4.790808584
2,linear,BATCHSTOP4,23.17363971
3,linear,BATCHSTOP4,23.06525038
4,linear,BATCHSTOP4,21.50444396
2,linear,BATCHDIVIDE4,11.33752439
3,linear,BATCHDIVIDE4,12.98504227
4,linear,BATCHDIVIDE4,11.68437026
2,exponential,BATCHBISECT,5.246043789
3,exponential,BATCHBISECT,3.013223499
2,exponential,BATCHSTOP4,23.43377412
3,exponential,BATCHSTOP4,21.78625623
2,exponential,BATCHDIVIDE4,13.07175374
3,exponential,BATCHDIVIDE4,15.69477563
2,stagger,BATCHBISECT,12.98504227
3,stagger,BATCHBISECT,10.21027531
2,stagger,BATCHSTOP4,23.88900932
3,stagger,BATCHSTOP4,23.73726425
2,stagger,BATCHDIVIDE4,12.1179276
3,stagger,BATCHDIVIDE4,14.24235855
-1,random_linear,BATCHBISECT,9.08302623
-1,random_linear,BATCHSTOP4,24.04075439
-1,random_linear,BATCHDIVIDE4,13.70041188
-1,random_exponential,BATCHBISECT,4.010405376
-1,random_exponential,BATCHSTOP4,21.35269889
-1,random_exponential,BATCHDIVIDE4,14.69759376
2,linear,BATCHBISECT,31.77345288
3,linear,BATCHBISECT,32.16706757
4,linear,BATCHBISECT,32.86682703
2,linear,BATCHSTOP4,44.08484583
3,linear,BATCHSTOP4,44.04111087
4,linear,BATCHSTOP4,44.28165318
2,linear,BATCHDIVIDE4,31.90465777
3,linear,BATCHDIVIDE4,34.11327356
4,linear,BATCHDIVIDE4,33.19483927
2,exponential,BATCHBISECT,34.87863547
3,exponential,BATCHBISECT,32.18893505
2,exponential,BATCHSTOP4,46.51213645
3,exponential,BATCHSTOP4,43.36321889
2,exponential,BATCHDIVIDE4,38.44303521
3,exponential,BATCHDIVIDE4,38.50863766
2,stagger,BATCHBISECT,38.22436038
3,stagger,BATCHBISECT,37.65580582
2,stagger,BATCHSTOP4,46.31532911
3,stagger,BATCHSTOP4,45.30942489
2,stagger,BATCHDIVIDE4,34.00393615
3,stagger,BATCHDIVIDE4,33.82899628
-1,random_linear,BATCHBISECT,35.40345506
-1,random_linear,BATCHSTOP4,45.22195495
-1,random_linear,BATCHDIVIDE4,32.86682703
-1,random_exponential,BATCHBISECT,33.82899628
-1,random_exponential,BATCHSTOP4,44.91581019
-1,random_exponential,BATCHDIVIDE4,36.80297398
2,linear,BATCHBISECT,8.71346118
3,linear,BATCHBISECT,8.787935208
4,linear,BATCHBISECT,9.029975796
2,linear,BATCHSTOP4,24.29715137
3,linear,BATCHSTOP4,24.40886241
4,linear,BATCHSTOP4,23.47793707
2,linear,BATCHDIVIDE4,15.43474213
3,linear,BATCHDIVIDE4,16.58908956
4,linear,BATCHDIVIDE4,16.49599702
2,exponential,BATCHBISECT,12.36268851
3,exponential,BATCHBISECT,8.359709551
2,exponential,BATCHSTOP4,27.14578291
3,exponential,BATCHSTOP4,23.45931856
2,exponential,BATCHDIVIDE4,19.25153603
3,exponential,BATCHDIVIDE4,18.15304413
2,stagger,BATCHBISECT,12.53025507
3,stagger,BATCHBISECT,11.15248557
2,stagger,BATCHSTOP4,24.72537702
3,stagger,BATCHSTOP4,24.25991435
2,stagger,BATCHDIVIDE4,15.11822752
3,stagger,BATCHDIVIDE4,14.98789797
-1,random_linear,BATCHBISECT,10.53807485
-1,random_linear,BATCHSTOP4,25.06051015
-1,random_linear,BATCHDIVIDE4,15.84434928
-1,random_exponential,BATCHBISECT,7.391547198
-1,random_exponential,BATCHSTOP4,22.56563024
-1,random_exponential,BATCHDIVIDE4,16.36566747
2,linear,BATCHBISECT,50.44308112
3,linear,BATCHBISECT,50.51124744
4,linear,BATCHBISECT,51.77232447
2,linear,BATCHSTOP4,62.09952284
3,linear,BATCHSTOP4,62.37218814
4,linear,BATCHSTOP4,61.96319018
2,linear,BATCHDIVIDE4,47.71642808
3,linear,BATCHDIVIDE4,47.71642808
4,linear,BATCHDIVIDE4,48.02317655
2,exponential,BATCHBISECT,53.85139741
3,exponential,BATCHBISECT,51.26107703
2,exponential,BATCHSTOP4,64.82617587
3,exponential,BATCHSTOP4,62.4062713
2,exponential,BATCHDIVIDE4,50.6475801
3,exponential,BATCHDIVIDE4,57.15746421
2,stagger,BATCHBISECT,54.29447853
3,stagger,BATCHBISECT,54.02181322
2,stagger,BATCHSTOP4,62.4062713
3,stagger,BATCHSTOP4,62.26993865
2,stagger,BATCHDIVIDE4,46.76209952
3,stagger,BATCHDIVIDE4,46.89843217
-1,random_linear,BATCHBISECT,52.96523517
-1,random_linear,BATCHSTOP4,63.42876619
-1,random_linear,BATCHDIVIDE4,47.68234492
-1,random_exponential,BATCHBISECT,53.81731425
-1,random_exponential,BATCHSTOP4,62.09952284
-1,random_exponential,BATCHDIVIDE4,53.34014997
2,linear,BATCHBISECT,40.5011155
3,linear,BATCHBISECT,43.4700532
4,linear,BATCHBISECT,44.86013386
2,linear,BATCHSTOP4,52.51415823
3,linear,BATCHSTOP4,52.87454951
4,linear,BATCHSTOP4,53.33790973
2,linear,BATCHDIVIDE4,40.43246954
3,linear,BATCHDIVIDE4,40.87866827
4,linear,BATCHDIVIDE4,41.70241977
2,exponential,BATCHBISECT,46.38750644
3,exponential,BATCHBISECT,45.71820834
2,exponential,BATCHSTOP4,54.07585378
3,exponential,BATCHSTOP4,54.2131457
2,exponential,BATCHDIVIDE4,41.46215892
3,exponential,BATCHDIVIDE4,50.31748756
2,stagger,BATCHBISECT,50.86665523
3,stagger,BATCHBISECT,50.47194096
2,stagger,BATCHSTOP4,54.45340656
3,stagger,BATCHSTOP4,54.89960529
2,stagger,BATCHDIVIDE4,41.56512785
3,stagger,BATCHDIVIDE4,43.04101596
-1,random_linear,BATCHBISECT,47.00532006
-1,random_linear,BATCHSTOP4,53.90423889
-1,random_linear,BATCHDIVIDE4,41.59945083
-1,random_exponential,BATCHBISECT,47.21125794
-1,random_exponential,BATCHSTOP4,54.64218294
-1,random_exponential,BATCHDIVIDE4,47.31422687
2,linear,BATCHBISECT,66.26506024
3,linear,BATCHBISECT,64.23589093
4,linear,BATCHBISECT,66.29676601
2,linear,BATCHSTOP4,71.40139505
3,linear,BATCHSTOP4,69.97463538
4,linear,BATCHSTOP4,71.17945466
2,linear,BATCHDIVIDE4,59.98731769
3,linear,BATCHDIVIDE4,58.81420419
4,linear,BATCHDIVIDE4,59.25808497
2,exponential,BATCHBISECT,67.56499683
3,exponential,BATCHBISECT,63.76030438
2,exponential,BATCHSTOP4,69.78440076
3,exponential,BATCHSTOP4,70.00634115
2,exponential,BATCHDIVIDE4,59.44831959
3,exponential,BATCHDIVIDE4,65.82117945
2,stagger,BATCHBISECT,62.8725428
3,stagger,BATCHBISECT,64.20418516
2,stagger,BATCHSTOP4,69.56246037
3,stagger,BATCHSTOP4,70.19657578
2,stagger,BATCHDIVIDE4,56.02409639
3,stagger,BATCHDIVIDE4,56.18262524
-1,random_linear,BATCHBISECT,64.87000634
-1,random_linear,BATCHSTOP4,70.45022194
-1,random_linear,BATCHDIVIDE4,57.64109068
-1,random_exponential,BATCHBISECT,64.61636018
-1,random_exponential,BATCHSTOP4,70.35510463
-1,random_exponential,BATCHDIVIDE4,62.17501585
2,linear,BATCHBISECT,68.88111888
3,linear,BATCHBISECT,63.63636364
4,linear,BATCHBISECT,65.73426573
2,linear,BATCHSTOP4,75.17482517
3,linear,BATCHSTOP4,69.93006993
4,linear,BATCHSTOP4,71.32867133
2,linear,BATCHDIVIDE4,61.53846154
3,linear,BATCHDIVIDE4,58.39160839
4,linear,BATCHDIVIDE4,57.69230769
2,exponential,BATCHBISECT,67.48251748
3,exponential,BATCHBISECT,65.03496503
2,exponential,BATCHSTOP4,70.97902098
3,exponential,BATCHSTOP4,70.97902098
2,exponential,BATCHDIVIDE4,61.88811189
3,exponential,BATCHDIVIDE4,60.13986014
2,stagger,BATCHBISECT,64.68531469
3,stagger,BATCHBISECT,66.08391608
2,stagger,BATCHSTOP4,72.02797203
3,stagger,BATCHSTOP4,71.32867133
2,stagger,BATCHDIVIDE4,57.69230769
3,stagger,BATCHDIVIDE4,54.54545455
-1,random_linear,BATCHBISECT,66.08391608
-1,random_linear,BATCHSTOP4,70.62937063
-1,random_linear,BATCHDIVIDE4,55.24475524
-1,random_exponential,BATCHBISECT,64.33566434
-1,random_exponential,BATCHSTOP4,71.67832168
-1,random_exponential,BATCHDIVIDE4,61.53846154
2,linear,BATCHBISECT,0.619725738
3,linear,BATCHBISECT,0.685654008
4,linear,BATCHBISECT,-0.52742616
2,linear,BATCHSTOP4,20.43776371
3,linear,BATCHSTOP4,19.44883966
4,linear,BATCHSTOP4,17.44462025
2,linear,BATCHDIVIDE4,11.26054852
3,linear,BATCHDIVIDE4,12.47362869
4,linear,BATCHDIVIDE4,10.95727848
2,exponential,BATCHBISECT,2.650316456
3,exponential,BATCHBISECT,-2.386603376
2,exponential,BATCHSTOP4,20.82014768
3,exponential,BATCHSTOP4,18.407173
2,exponential,BATCHDIVIDE4,11.94620253
3,exponential,BATCHDIVIDE4,11.37921941
2,stagger,BATCHBISECT,6.05221519
3,stagger,BATCHBISECT,1.991033755
2,stagger,BATCHSTOP4,21.11023207
3,stagger,BATCHSTOP4,19.67299578
2,stagger,BATCHDIVIDE4,11.22099156
3,stagger,BATCHDIVIDE4,11.44514768
-1,random_linear,BATCHBISECT,0.751582278
-1,random_linear,BATCHSTOP4,20.05537975
-1,random_linear,BATCHDIVIDE4,11.4978903
-1,random_exponential,BATCHBISECT,-2.162447257
-1,random_exponential,BATCHSTOP4,18.55221519
-1,random_exponential,BATCHDIVIDE4,11.1814346
2,linear,BATCHBISECT,5.963506898
3,linear,BATCHBISECT,5.095683133
4,linear,BATCHBISECT,4.639519359
2,linear,BATCHSTOP4,22.48553627
3,linear,BATCHSTOP4,21.84023142
4,linear,BATCHSTOP4,20.89452603
2,linear,BATCHDIVIDE4,11.9047619
3,linear,BATCHDIVIDE4,12.32754784
4,linear,BATCHDIVIDE4,11.55985759
2,exponential,BATCHBISECT,5.462839341
3,exponential,BATCHBISECT,2.180685358
2,exponential,BATCHSTOP4,23.09746328
3,exponential,BATCHSTOP4,19.11437472
2,exponential,BATCHDIVIDE4,12.72808189
3,exponential,BATCHDIVIDE4,12.85046729
2,stagger,BATCHBISECT,9.234534935
3,stagger,BATCHBISECT,7.242990654
2,stagger,BATCHSTOP4,22.73030708
3,stagger,BATCHSTOP4,20.69425901
2,stagger,BATCHDIVIDE4,11.72674677
3,stagger,BATCHDIVIDE4,12.36092568
