factor,update_method,algorithm,builds_saved
2,linear,BATCHDIVIDE4,58.75634518
3,linear,BATCHDIVIDE4,57.8680203
4,linear,BATCHDIVIDE4,60.21573604
2,exponential,BATCHBISECT,63.07106599
3,exponential,BATCHBISECT,63.26142132
2,exponential,BATCHSTOP4,68.59137056
3,exponential,BATCHSTOP4,68.84517766
2,exponential,BATCHDIVIDE4,58.05837563
3,exponential,BATCHDIVIDE4,65.29187817
2,stagger,BATCHBISECT,62.56345178
3,stagger,BATCHBISECT,63.5786802
2,stagger,BATCHSTOP4,67.82994924
3,stagger,BATCHSTOP4,68.46446701
2,stagger,BATCHDIVIDE4,56.97969543
3,stagger,BATCHDIVIDE4,57.36040609
-1,random_linear,BATCHBISECT,63.38832487
-1,random_linear,BATCHSTOP4,68.78172589
-1,random_linear,BATCHDIVIDE4,57.74111675
-1,random_exponential,BATCHBISECT,62.94416244
-1,random_exponential,BATCHSTOP4,68.08375635
-1,random_exponential,BATCHDIVIDE4,62.88071066
2,linear,BATCHBISECT,11.40833989
3,linear,BATCHBISECT,18.48937844
4,linear,BATCHBISECT,16.83713611
2,linear,BATCHSTOP4,36.03461841
3,linear,BATCHSTOP4,37.1361133
4,linear,BATCHSTOP4,34.30369788
2,linear,BATCHDIVIDE4,24.46892211
3,linear,BATCHDIVIDE4,27.06530291
4,linear,BATCHDIVIDE4,22.89535799
2,exponential,BATCHBISECT,20.29897718
3,exponential,BATCHBISECT,15.57828482
2,exponential,BATCHSTOP4,37.45082612
3,exponential,BATCHSTOP4,34.06766326
2,exponential,BATCHDIVIDE4,25.96380803
3,exponential,BATCHDIVIDE4,27.45869394
2,stagger,BATCHBISECT,23.91817467
3,stagger,BATCHBISECT,21.55782848
2,stagger,BATCHSTOP4,37.52950433
3,stagger,BATCHSTOP4,35.40519276
2,stagger,BATCHDIVIDE4,24.94099135
3,stagger,BATCHDIVIDE4,25.41306058
-1,random_linear,BATCHBISECT,18.56805665
-1,random_linear,BATCHSTOP4,35.16915814
-1,random_linear,BATCHDIVIDE4,25.09834776
-1,random_exponential,BATCHBISECT,17.54523997
-1,random_exponential,BATCHSTOP4,35.9559402
-1,random_exponential,BATCHDIVIDE4,23.91817467
2,linear,BATCHBISECT,43.1372549
3,linear,BATCHBISECT,43.27731092
4,linear,BATCHBISECT,41.45658263
2,linear,BATCHSTOP4,53.1512605
3,linear,BATCHSTOP4,52.80112045
4,linear,BATCHSTOP4,51.82072829
2,linear,BATCHDIVIDE4,45.72829132
3,linear,BATCHDIVIDE4,45.44817927
4,linear,BATCHDIVIDE4,46.28851541
2,exponential,BATCHBISECT,44.53781513
3,exponential,BATCHBISECT,39.77591036
2,exponential,BATCHSTOP4,52.38095238
3,exponential,BATCHSTOP4,50.98039216
2,exponential,BATCHDIVIDE4,46.63865546
3,exponential,BATCHDIVIDE4,48.03921569
2,stagger,BATCHBISECT,43.62745098
3,stagger,BATCHBISECT,43.62745098
2,stagger,BATCHSTOP4,51.75070028
3,stagger,BATCHSTOP4,52.80112045
2,stagger,BATCHDIVIDE4,42.78711485
3,stagger,BATCHDIVIDE4,43.34733894
-1,random_linear,BATCHBISECT,43.20728291
-1,random_linear,BATCHSTOP4,53.08123249
-1,random_linear,BATCHDIVIDE4,44.18767507
-1,random_exponential,BATCHBISECT,41.94677871
-1,random_exponential,BATCHSTOP4,52.38095238
-1,random_exponential,BATCHDIVIDE4,48.38935574
2,linear,BATCHBISECT,0
3,linear,BATCHBISECT,1.506591337
4,linear,BATCHBISECT,-1.035781544
2,linear,BATCHSTOP4,23.6346516
3,linear,BATCHSTOP4,24.67043315
4,linear,BATCHSTOP4,21.56308851
2,linear,BATCHDIVIDE4,11.86440678
3,linear,BATCHDIVIDE4,15.72504708
4,linear,BATCHDIVIDE4,11.77024482
2,exponential,BATCHBISECT,3.013182674
3,exponential,BATCHBISECT,-2.63653484
2,exponential,BATCHSTOP4,24.29378531
3,exponential,BATCHSTOP4,21.75141243
2,exponential,BATCHDIVIDE4,13.27683616
3,exponential,BATCHDIVIDE4,14.12429379
2,stagger,BATCHBISECT,8.380414313
3,stagger,BATCHBISECT,3.860640301
