project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
grails-grails-core.csv,BATCHBISECT,-1,linear,3,1046,1.506591337099806,1062
grails-grails-core.csv,BATCHBISECT,-1,linear,4,1051,1.0357815442561247,1062
grails-grails-core.csv,BATCHSTOP4,-1,linear,2,812,23.540489642184554,1062
grails-grails-core.csv,BATCHSTOP4,-1,linear,3,800,24.67043314500941,1062
grails-grails-core.csv,BATCHSTOP4,-1,linear,4,821,22.69303201506591,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,2,936,11.86440677966101,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,3,895,15.72504708097928,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,4,944,11.111111111111114,1062
grails-grails-core.csv,BATCHBISECT,-1,exponential,2,1033,2.730696798493412,1062
grails-grails-core.csv,BATCHBISECT,-1,exponential,3,1051,1.0357815442561247,1062
grails-grails-core.csv,BATCHSTOP4,-1,exponential,2,800,24.67043314500941,1062
grails-grails-core.csv,BATCHSTOP4,-1,exponential,3,801,24.576271186440678,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,exponential,2,915,13.841807909604526,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,exponential,3,918,13.559322033898312,1062
grails-grails-core.csv,BATCHBISECT,-1,stagger,2,975,8.192090395480221,1062
grails-grails-core.csv,BATCHBISECT,-1,stagger,3,1021,3.86064030131827,1062
grails-grails-core.csv,BATCHSTOP4,-1,stagger,2,795,25.141242937853107,1062
grails-grails-core.csv,BATCHSTOP4,-1,stagger,3,807,24.01129943502825,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger,2,920,13.37099811676083,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger,3,903,14.971751412429384,1062
grails-grails-core.csv,BATCHBISECT,-1,random_linear,-1,1044,1.6949152542372872,1062
grails-grails-core.csv,BATCHSTOP4,-1,random_linear,-1,799,24.76459510357816,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,random_linear,-1,919,13.465160075329564,1062
grails-grails-core.csv,BATCHBISECT,-1,random_exponential,-1,1056,0.5649717514124291,1062
grails-grails-core.csv,BATCHSTOP4,-1,random_exponential,-1,830,21.845574387947266,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,random_exponential,-1,928,12.61770244821092,1062
square-wire.csv,BATCHBISECT,-1,linear,2,310,72.37076648841355,1122
square-wire.csv,BATCHBISECT,-1,linear,3,316,71.83600713012478,1122
square-wire.csv,BATCHBISECT,-1,linear,4,303,72.99465240641712,1122
square-wire.csv,BATCHSTOP4,-1,linear,2,273,75.66844919786097,1122
square-wire.csv,BATCHSTOP4,-1,linear,3,270,75.93582887700535,1122
square-wire.csv,BATCHSTOP4,-1,linear,4,266,76.29233511586453,1122
square-wire.csv,BATCHDIVIDE4,-1,linear,2,411,63.36898395721925,1122
square-wire.csv,BATCHDIVIDE4,-1,linear,3,407,63.72549019607843,1122
square-wire.csv,BATCHDIVIDE4,-1,linear,4,411,63.36898395721925,1122
square-wire.csv,BATCHBISECT,-1,exponential,2,305,72.81639928698752,1122
square-wire.csv,BATCHBISECT,-1,exponential,3,330,70.58823529411765,1122
square-wire.csv,BATCHSTOP4,-1,exponential,2,271,75.84670231729055,1122
square-wire.csv,BATCHSTOP4,-1,exponential,3,280,75.0445632798574,1122
square-wire.csv,BATCHDIVIDE4,-1,exponential,2,408,63.63636363636363,1122
square-wire.csv,BATCHDIVIDE4,-1,exponential,3,447,60.160427807486634,1122
square-wire.csv,BATCHBISECT,-1,stagger,2,359,68.00356506238859,1122
square-wire.csv,BATCHBISECT,-1,stagger,3,337,69.96434937611409,1122
square-wire.csv,BATCHSTOP4,-1,stagger,2,303,72.99465240641712,1122
square-wire.csv,BATCHSTOP4,-1,stagger,3,289,74.24242424242425,1122
square-wire.csv,BATCHDIVIDE4,-1,stagger,2,454,59.53654188948307,1122
square-wire.csv,BATCHDIVIDE4,-1,stagger,3,446,60.249554367201426,1122
square-wire.csv,BATCHBISECT,-1,random_linear,-1,335,70.14260249554367,1122
square-wire.csv,BATCHSTOP4,-1,random_linear,-1,298,73.44028520499108,1122
square-wire.csv,BATCHDIVIDE4,-1,random_linear,-1,439,60.87344028520499,1122
square-wire.csv,BATCHBISECT,-1,random_exponential,-1,343,69.42959001782532,1122
square-wire.csv,BATCHSTOP4,-1,random_exponential,-1,285,74.59893048128342,1122
square-wire.csv,BATCHDIVIDE4,-1,random_exponential,-1,418,62.745098039215684,1122
puniverse-quasar.csv,BATCHBISECT,-1,linear,2,671,47.04025256511444,1267
puniverse-quasar.csv,BATCHBISECT,-1,linear,3,679,46.408839779005525,1267
puniverse-quasar.csv,BATCHBISECT,-1,linear,4,700,44.751381215469614,1267
puniverse-quasar.csv,BATCHSTOP4,-1,linear,2,546,56.9060773480663,1267
puniverse-quasar.csv,BATCHSTOP4,-1,linear,3,548,56.74822415153907,1267
puniverse-quasar.csv,BATCHSTOP4,-1,linear,4,554,56.27466456195738,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,2,651,48.61878453038674,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,3,668,47.27703235990529,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,4,716,43.48855564325178,1267
puniverse-quasar.csv,BATCHBISECT,-1,exponential,2,645,49.09234411996843,1267
puniverse-quasar.csv,BATCHBISECT,-1,exponential,3,661,47.829518547750595,1267
puniverse-quasar.csv,BATCHSTOP4,-1,exponential,2,542,57.22178374112076,1267
puniverse-quasar.csv,BATCHSTOP4,-1,exponential,3,548,56.74822415153907,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,exponential,2,658,48.06629834254144,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,exponential,3,695,45.14601420678769,1267
puniverse-quasar.csv,BATCHBISECT,-1,stagger,2,697,44.988161010260455,1267
puniverse-quasar.csv,BATCHBISECT,-1,stagger,3,659,47.98737174427782,1267
puniverse-quasar.csv,BATCHSTOP4,-1,stagger,2,570,55.011838989739545,1267
puniverse-quasar.csv,BATCHSTOP4,-1,stagger,3,548,56.74822415153907,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger,2,711,43.88318863456985,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger,3,697,44.988161010260455,1267
puniverse-quasar.csv,BATCHBISECT,-1,random_linear,-1,697,44.988161010260455,1267
puniverse-quasar.csv,BATCHSTOP4,-1,random_linear,-1,572,54.85398579321231,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,random_linear,-1,664,47.59273875295975,1267
puniverse-quasar.csv,BATCHBISECT,-1,random_exponential,-1,677,46.56669297553275,1267
puniverse-quasar.csv,BATCHSTOP4,-1,random_exponential,-1,581,54.14364640883978,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,random_exponential,-1,684,46.01420678768745,1267
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,2,707,65.0,2020
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,3,659,67.37623762376238,2020
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,4,695,65.59405940594058,2020
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,2,572,71.68316831683168,2020
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,3,536,73.46534653465346,2020
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,4,577,71.43564356435644,2020
