,project,Dynamic Baseline BATCHBISECT,BATCHBISECT random_linear -1.0,BATCHBISECT exponential 2.0,BATCHBISECT stagger 2.0,BATCHBISECT random_exponential -1.0,BATCHBISECT linear 2.0,BATCHBISECT random_random -1.0,BATCHBISECT linear 4.0,BATCHBISECT linear 1.0,BATCHBISECT stagger 3.0,BATCHBISECT linear 3.0,BATCHBISECT stagger_mfu 2.0,BATCHBISECT stagger_mfu 3.0,BATCHBISECT exponential 3.0,Dynamic Baseline BATCHSTOP4,BATCHSTOP4 linear 2.0,BATCHSTOP4 exponential 3.0,BATCHSTOP4 stagger_mfu 3.0,BATCHSTOP4 random_exponential -1.0,BATCHSTOP4 linear 3.0,BATCHSTOP4 linear 4.0,BATCHSTOP4 random_random -1.0,BATCHSTOP4 random_linear -1.0,BATCHSTOP4 stagger_mfu 2.0,BATCHSTOP4 exponential 2.0,BATCHSTOP4 linear 1.0,BATCHSTOP4 stagger 2.0,BATCHSTOP4 stagger 3.0,Dynamic Baseline BATCHDIVIDE4,BATCHDIVIDE4 stagger_mfu 3.0,BATCHDIVIDE4 linear 1.0,BATCHDIVIDE4 random_exponential -1.0,BATCHDIVIDE4 linear 3.0,BATCHDIVIDE4 linear 4.0,BATCHDIVIDE4 stagger 2.0,BATCHDIVIDE4 random_linear -1.0,BATCHDIVIDE4 linear 2.0,BATCHDIVIDE4 exponential 3.0,BATCHDIVIDE4 stagger 3.0,BATCHDIVIDE4 stagger_mfu 2.0,BATCHDIVIDE4 random_random -1.0,BATCHDIVIDE4 exponential 2.0
13,CloudSlang-cloud-slang.csv,24.16472416472416,21.756021756021752,26.184926184926184,29.21522921522921,21.91142191142191,25.563325563325563,22.53302253302253,22.06682206682207,27.8943278943279,27.661227661227656,25.174825174825173,25.71872571872572,26.573426573426573,28.360528360528363,31.235431235431232,38.85003885003885,39.7047397047397,38.6946386946387,36.98523698523699,36.36363636363637,36.5967365967366,35.198135198135205,34.809634809634815,35.58663558663558,34.34343434343434,39.47163947163947,37.76223776223776,39.00543900543901,34.11033411033411,33.022533022533025,36.75213675213675,31.08003108003108,32.400932400932405,32.09013209013209,33.255633255633256,27.272727272727263,35.35353535353535,39.62703962703963,33.72183372183372,31.002331002331005,28.982128982128984,29.99222999223
14,apache-tajo.csv,13.331888142206804,6.893561673531323,10.773899848254928,13.07175373943204,7.630609148059833,12.854975070453063,7.955777151528295,10.81725558205072,13.765445480164756,10.2102753089096,11.59765879037502,8.606113158465206,8.19423368740516,12.378061998699325,17.27725991762411,22.675048775200523,21.95967916756992,19.119878603945367,19.813570344678084,21.54779969650987,21.85128983308043,19.59679167569911,18.187730327335785,17.537394320398874,17.970951658356825,21.85128983308043,19.07652287014957,19.55343594190332,18.31779752872318,16.952091914155645,21.938001300672013,17.36397138521569,20.37719488402341,19.380013006720134,17.710817255582057,15.759809234771296,21.85128983308043,21.82961196618253,17.233904183828315,16.366789507912415,16.756991112074573,16.453500975504014
15,cloudfoundry-uaa.csv,43.13725490196079,41.596638655462186,44.6078431372549,43.55742296918768,42.50700280112045,43.69747899159664,42.85714285714285,43.76750700280112,43.62745098039216,44.04761904761905,43.34733893557423,43.41736694677872,43.0672268907563,43.13725490196079,45.65826330532213,48.739495798319325,50.21008403361345,48.4593837535014,49.43977591036415,46.70868347338936,49.089635854341736,47.26890756302521,46.42857142857143,47.75910364145658,47.128851540616246,48.109243697479,47.549019607843135,48.739495798319325,47.47899159663865,42.436974789915965,42.296918767507,47.75910364145658,40.68627450980392,42.08683473389356,42.436974789915965,45.02801120448179,42.15686274509804,48.66946778711485,42.64705882352941,42.01680672268908,41.10644257703081,41.66666666666666
16,DSpace-DSpace.csv,77.31211090430654,79.77023297606058,79.27390197462722,79.84297114006375,80.07402177866204,78.49089703271078,79.5284855486383,78.35825685129325,78.37751107117643,80.03979205442526,79.00220353849774,78.68129987377789,79.12842564662088,76.66388550157242,78.41388015317801,80.26014590419956,77.78490897032711,80.70941103480735,82.0978542241619,80.76503433669212,80.06332498983805,80.93832231564085,82.39094623793937,80.41417966326509,80.67946002610017,79.98844746807009,80.90409259140407,81.01106047964402,78.49945446376998,64.89741779517789,65.24613311084013,71.96585585007381,65.25682989966413,60.95886015018292,65.24185439531053,69.49489763173095,63.65872964935926,77.76137603491432,65.26538733072331,64.69631816528678,64.8546306398819,65.01936118777144
17,p6spy-p6spy.csv,64.6853146853147,63.98601398601399,65.38461538461539,65.38461538461539,64.33566433566433,68.88111888111888,65.38461538461539,64.33566433566433,64.33566433566433,66.08391608391608,63.98601398601399,65.38461538461539,64.33566433566433,62.23776223776224,68.18181818181819,72.37762237762237,66.78321678321677,67.83216783216784,68.88111888111888,68.88111888111888,69.23076923076923,69.23076923076923,69.93006993006993,68.18181818181819,68.18181818181819,68.53146853146853,68.18181818181819,68.18181818181819,67.83216783216784,55.94405594405595,59.79020979020979,70.27972027972028,58.74125874125874,56.29370629370629,56.99300699300699,60.83916083916084,58.74125874125874,65.38461538461539,58.39160839160839,56.99300699300699,59.44055944055944,56.99300699300699
18,JabRef-jabref.csv,0.3804347826086962,-2.826086956521735,-0.4891304347826093,-0.2717391304347814,-0.2173913043478279,-0.5978260869565162,-3.3695652173912976,-1.684782608695656,0.1630434782608745,-0.5434782608695627,-1.1413043478260931,-0.2717391304347814,-1.032608695652172,-0.7065217391304373,1.5760869565217384,3.423913043478265,2.7717391304347814,2.282608695652172,2.065217391304344,2.0108695652173907,2.8804347826087024,1.1413043478260931,1.7934782608695627,2.608695652173907,2.173913043478265,3.532608695652172,2.6630434782608745,2.608695652173907,1.8478260869565168,2.065217391304344,3.478260869565218,1.032608695652172,1.7934782608695627,2.173913043478265,2.5,-0.4347826086956559,2.934782608695656,2.717391304347828,2.391304347826093,2.4456521739130466,0.8152173913043441,2.0108695652173907
19,linkedin-gobblin.csv,35.44733861834655,36.21744054360136,37.10079275198188,38.57304643261608,37.327293318233295,37.89354473386184,36.71574178935448,38.66364665911665,38.5277463193658,38.55039637599094,37.349943374858434,36.308040770101925,36.919592298980746,37.28199320498301,39.93204983012457,44.23556058890147,43.578708946772366,43.17100792751982,42.876557191392976,43.10305775764439,45.20951302378256,43.05775764439411,43.10305775764439,41.69875424688562,41.51755379388448,44.53001132502831,42.49150622876557,43.64665911664779,41.359003397508495,36.12684031710079,39.365798414496034,37.87089467723669,36.80634201585504,37.53114382785957,36.036240090600224,37.9841449603624,37.25934314835787,43.23895809739524,36.98754246885617,35.28878822197055,35.719139297848244,34.69988674971687
20,keycloak-keycloak.csv,65.84158415841583,65.64356435643565,68.36633663366337,67.77227722772278,65.89108910891089,66.13861386138615,66.83168316831683,66.83168316831683,66.68316831683168,66.73267326732673,67.82178217821783,68.36633663366337,67.02970297029702,66.03960396039604,67.72277227722772,69.35643564356435,69.60396039603961,69.60396039603961,70.84158415841584,70.24752475247524,70.79207920792079,67.62376237623762,70.79207920792079,70.24752475247524,70.0,69.50495049504951,70.0990099009901,69.4059405940594,68.01980198019801,57.57425742574257,58.415841584158414,66.83168316831683,58.415841584158414,57.37623762376238,58.16831683168317,61.68316831683168,57.227722772277225,68.31683168316832,57.67326732673267,58.366336633663366,56.28712871287129,58.26732673267327
21,nutzam-nutz.csv,-6.741573033707859,-42.696629213483135,-20.2247191011236,-20.2247191011236,-23.595505617977523,-20.2247191011236,-48.31460674157304,-24.719101123595507,-14.606741573033702,-22.471910112359552,-17.97752808988764,-20.2247191011236,-22.471910112359552,-22.471910112359552,-4.494382022471921,1.1235955056179705,-2.247191011235955,-2.247191011235955,-1.1235955056179705,-6.741573033707866,-1.1235955056179705,-22.471910112359552,-13.483146067415731,-2.247191011235955,-2.247191011235955,5.617977528089881,-2.247191011235955,-2.247191011235955,-3.370786516853941,-2.247191011235955,5.617977528089881,-6.741573033707866,-6.741573033707866,-1.1235955056179705,-2.247191011235955,-8.98876404494382,1.1235955056179705,-2.247191011235955,-2.247191011235955,-2.247191011235955,-7.865168539325836,-2.247191011235955
22,floragunncom-search-guard.csv,61.25410733844468,64.04709748083242,62.73274917853231,62.95180722891566,64.86856516977,63.38992332968237,64.86856516977,64.53997809419496,63.30777656078861,64.1566265060241,64.95071193866374,62.81489594742607,65.0328587075575,62.458926615553125,65.36144578313254,68.34611171960569,67.4972617743702,68.81161007667032,70.78313253012048,69.63307776560788,70.29025191675794,69.79737130339541,70.75575027382257,67.00438116100767,66.81270536692224,68.26396495071194,66.94961664841182,67.30558598028477,66.12814895947426,57.28368017524644,57.968236582694416,64.40306681270536,58.023001095290255,57.8039430449069,56.81818181818182,63.36254107338445,56.024096385542165,67.4972617743702,56.59912376779847,56.078860898138,57.91347207009858,56.54435925520263
