,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
67,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1436,13.285024154589365,1656
68,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,4,1544,6.763285024154584,1656
69,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1767,-6.70289855072464,1656
70,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1539,7.065217391304344,1656
71,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1535,7.306763285024161,1656
72,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1722,-3.9855072463768124,1656
73,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1470,11.231884057971016,1656
74,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1479,10.688405797101453,1656
75,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1745,-5.374396135265698,1656
76,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1505,9.118357487922708,1656
77,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,1511,8.75603864734299,1656
78,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,750,18.122270742358083,916
79,p6spy-p6spy.csv,BATCHBISECT,-1,linear,2,776,15.28384279475982,916
80,p6spy-p6spy.csv,BATCHBISECT,-1,linear,3,802,12.445414847161572,916
81,p6spy-p6spy.csv,BATCHBISECT,-1,linear,4,779,14.956331877729255,916
82,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,1,639,30.24017467248909,916
83,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,2,635,30.67685589519651,916
84,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,3,697,23.908296943231434,916
85,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,4,650,29.03930131004367,916
86,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,1,650,29.03930131004367,916
87,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,2,664,27.510917030567683,916
88,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,3,722,21.17903930131004,916
89,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,4,696,24.017467248908304,916
90,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,2,782,14.62882096069869,916
91,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,3,795,13.209606986899558,916
92,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,4,873,4.6943231441048,916
93,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,2,688,24.890829694323145,916
94,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,3,660,27.947598253275103,916
95,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,4,757,17.358078602620083,916
96,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,2,723,21.069868995633186,916
97,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,3,669,26.965065502183407,916
98,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,4,801,12.554585152838428,916
99,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,2,779,14.956331877729255,916
100,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,3,791,13.646288209606993,916
101,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,4,855,6.659388646288207,916
102,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,2,686,25.109170305676855,916
103,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,3,663,27.620087336244538,916
104,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,4,733,19.978165938864635,916
105,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,2,721,21.288209606986896,916
106,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,3,701,23.471615720524014,916
107,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,4,775,15.393013100436676,916
108,p6spy-p6spy.csv,BATCHBISECT,-1,random_linear,-1,902,1.5283842794759863,916
109,p6spy-p6spy.csv,BATCHSTOP4,-1,random_linear,-1,718,21.615720524017462,916
110,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_linear,-1,782,14.62882096069869,916
111,p6spy-p6spy.csv,BATCHBISECT,-1,random_exponential,-1,841,8.187772925764193,916
112,p6spy-p6spy.csv,BATCHSTOP4,-1,random_exponential,-1,695,24.12663755458516,916
113,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_exponential,-1,711,22.379912663755462,916
114,p6spy-p6spy.csv,BATCHBISECT,-1,random_random,-1,853,6.877729257641917,916
115,p6spy-p6spy.csv,BATCHSTOP4,-1,random_random,-1,721,21.288209606986896,916
116,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_random,-1,735,19.75982532751091,916
117,apache-tajo.csv,BATCHBISECT,-1,linear,1,923,28.171206225680933,1285
118,apache-tajo.csv,BATCHBISECT,-1,linear,2,950,26.070038910505843,1285
119,apache-tajo.csv,BATCHBISECT,-1,linear,3,969,24.59143968871595,1285
120,apache-tajo.csv,BATCHBISECT,-1,linear,4,986,23.268482490272376,1285
121,apache-tajo.csv,BATCHSTOP4,-1,linear,1,775,39.688715953307394,1285
122,apache-tajo.csv,BATCHSTOP4,-1,linear,2,773,39.8443579766537,1285
123,apache-tajo.csv,BATCHSTOP4,-1,linear,3,823,35.95330739299611,1285
124,apache-tajo.csv,BATCHSTOP4,-1,linear,4,807,37.19844357976654,1285
125,apache-tajo.csv,BATCHDIVIDE4,-1,linear,1,809,37.04280155642024,1285
126,apache-tajo.csv,BATCHDIVIDE4,-1,linear,2,827,35.6420233463035,1285
127,apache-tajo.csv,BATCHDIVIDE4,-1,linear,3,875,31.90661478599222,1285
128,apache-tajo.csv,BATCHDIVIDE4,-1,linear,4,872,32.14007782101167,1285
129,apache-tajo.csv,BATCHBISECT,-1,exponential,2,935,27.237354085603116,1285
130,apache-tajo.csv,BATCHBISECT,-1,exponential,3,914,28.871595330739297,1285
131,apache-tajo.csv,BATCHBISECT,-1,exponential,4,956,25.60311284046692,1285
132,apache-tajo.csv,BATCHSTOP4,-1,exponential,2,827,35.6420233463035,1285
133,apache-tajo.csv,BATCHSTOP4,-1,exponential,3,768,40.233463035019454,1285
134,apache-tajo.csv,BATCHSTOP4,-1,exponential,4,862,32.91828793774319,1285
135,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,2,886,31.050583657587552,1285
136,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,3,770,40.07782101167315,1285
137,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,4,946,26.38132295719845,1285
138,apache-tajo.csv,BATCHBISECT,-1,stagger,2,907,29.416342412451357,1285
139,apache-tajo.csv,BATCHBISECT,-1,stagger,3,924,28.09338521400778,1285
140,apache-tajo.csv,BATCHBISECT,-1,stagger,4,972,24.357976653696497,1285
141,apache-tajo.csv,BATCHSTOP4,-1,stagger,2,787,38.75486381322957,1285
142,apache-tajo.csv,BATCHSTOP4,-1,stagger,3,779,39.37743190661479,1285
143,apache-tajo.csv,BATCHSTOP4,-1,stagger,4,846,34.163424124513625,1285
144,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,2,850,33.852140077821005,1285
145,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,3,850,33.852140077821005,1285
146,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,4,937,27.081712062256813,1285
147,apache-tajo.csv,BATCHBISECT,-1,random_linear,-1,1022,20.46692607003891,1285
148,apache-tajo.csv,BATCHSTOP4,-1,random_linear,-1,823,35.95330739299611,1285
149,apache-tajo.csv,BATCHDIVIDE4,-1,random_linear,-1,909,29.260700389105054,1285
150,apache-tajo.csv,BATCHBISECT,-1,random_exponential,-1,965,24.902723735408557,1285
151,apache-tajo.csv,BATCHSTOP4,-1,random_exponential,-1,839,34.708171206225686,1285
152,apache-tajo.csv,BATCHDIVIDE4,-1,random_exponential,-1,865,32.68482490272373,1285
153,apache-tajo.csv,BATCHBISECT,-1,random_random,-1,969,24.59143968871595,1285
154,apache-tajo.csv,BATCHSTOP4,-1,random_random,-1,797,37.976653696498055,1285
155,apache-tajo.csv,BATCHDIVIDE4,-1,random_random,-1,929,27.704280155642024,1285
156,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,1,814,14.405888538380651,951
157,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,2,838,11.882229232386962,951
158,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,3,836,12.092534174553109,951
159,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,4,840,11.671924290220815,951
160,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,1,743,21.87171398527866,951
161,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,2,737,22.502628811777072,951
162,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,3,745,21.661409043112513,951
163,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,4,733,22.923238696109365,951
164,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,1,746,21.55625657202944,951
165,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,2,747,21.451104100946367,951
166,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,3,761,19.978969505783382,951
167,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,4,769,19.137749737118824,951
168,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,2,863,9.253417455310199,951
169,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,3,814,14.405888538380651,951
