,project,algorithm,batch_size,total_duration,testall_duration,time_saved,builds_saved,total_builds,testall_size
48,osmdroid-osmdroid.csv,BATCHDIVIDE4,8,9527821.0,10708671.0,11.027045279474919,1.7875920084122043,934,951
49,osmdroid-osmdroid.csv,BATCHDIVIDE4,16,10560453.0,10708671.0,1.3840933202635455,8.09674027339642,874,951
50,DSpace-DSpace.csv,BATCHBISECT,2,601460.0,1027323.0,41.45366160399407,40.15696533682145,915,1529
51,DSpace-DSpace.csv,BATCHBISECT,4,437425.0,1027323.0,57.420889048527094,56.245912361020274,669,1529
52,DSpace-DSpace.csv,BATCHBISECT,8,385759.0,1027323.0,62.450076558200294,61.41268803139307,590,1529
53,DSpace-DSpace.csv,BATCHBISECT,16,379916.0,1027323.0,63.01883633482361,62.459123610202745,574,1529
54,DSpace-DSpace.csv,BATCHSTOP4,4,391188.0,1027323.0,61.92161569438239,57.16154349247874,655,1529
55,DSpace-DSpace.csv,BATCHSTOP4,8,376898.0,1027323.0,63.31260956875296,62.328319162851535,576,1529
56,DSpace-DSpace.csv,BATCHSTOP4,16,397941.0,1027323.0,61.26427618188243,63.30935251798561,561,1529
57,DSpace-DSpace.csv,BATCHDIVIDE4,4,391188.0,1027323.0,61.92161569438239,57.16154349247874,655,1529
58,DSpace-DSpace.csv,BATCHDIVIDE4,8,376898.0,1027323.0,63.31260956875296,62.328319162851535,576,1529
59,DSpace-DSpace.csv,BATCHDIVIDE4,16,643852.0,1027323.0,37.32720867730986,57.09614126880314,656,1529
60,apache-nifi.csv,BATCHBISECT,2,3108547.0,3789554.0,17.970637177884257,12.731871838111303,1035,1186
61,apache-nifi.csv,BATCHBISECT,4,2969246.0,3789554.0,21.646557879898268,13.40640809443508,1027,1186
62,apache-nifi.csv,BATCHBISECT,8,3045223.0,3789554.0,19.641651761658494,10.033726812816184,1067,1186
63,apache-nifi.csv,BATCHBISECT,16,3170757.0,3789554.0,16.32901919328765,5.9865092748735265,1115,1186
64,apache-nifi.csv,BATCHSTOP4,4,2147506.0,3789554.0,43.330903847787894,26.22259696458684,875,1186
65,apache-nifi.csv,BATCHSTOP4,8,2499423.0,3789554.0,34.044402058923026,22.84991568296796,915,1186
66,apache-nifi.csv,BATCHSTOP4,16,2815984.0,3789554.0,25.69088605149841,18.80269814502529,963,1186
67,apache-nifi.csv,BATCHDIVIDE4,4,2147506.0,3789554.0,43.330903847787894,26.22259696458684,875,1186
68,apache-nifi.csv,BATCHDIVIDE4,8,2499423.0,3789554.0,34.044402058923026,22.84991568296796,915,1186
69,apache-nifi.csv,BATCHDIVIDE4,16,3103119.0,3789554.0,18.11387303096882,26.22259696458684,875,1186
70,caelum-vraptor4.csv,BATCHBISECT,2,99754.0,149339.0,33.2029811368765,31.18393234672304,651,946
71,caelum-vraptor4.csv,BATCHBISECT,4,83400.0,149339.0,44.153904874145404,41.120507399577164,557,946
72,caelum-vraptor4.csv,BATCHBISECT,8,80154.0,149339.0,46.327483108899884,42.81183932346723,541,946
73,caelum-vraptor4.csv,BATCHBISECT,16,82303.0,149339.0,44.88847521411018,40.80338266384778,560,946
74,caelum-vraptor4.csv,BATCHSTOP4,4,69136.0,149339.0,53.705328146030176,44.92600422832981,521,946
75,caelum-vraptor4.csv,BATCHSTOP4,8,73625.0,149339.0,50.69941542396829,46.61733615221987,505,946
76,caelum-vraptor4.csv,BATCHSTOP4,16,81699.0,149339.0,45.292924152431716,44.60887949260042,524,946
77,caelum-vraptor4.csv,BATCHDIVIDE4,4,69136.0,149339.0,53.705328146030176,44.92600422832981,521,946
78,caelum-vraptor4.csv,BATCHDIVIDE4,8,73625.0,149339.0,50.69941542396829,46.61733615221987,505,946
79,caelum-vraptor4.csv,BATCHDIVIDE4,16,106238.0,149339.0,28.86118160694795,44.92600422832981,521,946
80,grails-grails-core.csv,BATCHBISECT,2,1555011.0,1769150.0,12.10406127236243,4.671968190854869,959,1006
81,grails-grails-core.csv,BATCHBISECT,4,1618584.0,1769150.0,8.510640703162537,-1.3916500994035772,1020,1006
82,grails-grails-core.csv,BATCHBISECT,8,1727847.0,1769150.0,2.3346239719639357,-8.349900596421477,1090,1006
83,grails-grails-core.csv,BATCHBISECT,16,1815206.0,1769150.0,-2.6032840629680862,-13.419483101391648,1141,1006
84,grails-grails-core.csv,BATCHSTOP4,4,1192926.0,1769150.0,32.570669530565524,12.92246520874751,876,1006
85,grails-grails-core.csv,BATCHSTOP4,8,1472074.0,1769150.0,16.792018766074108,5.964214711729625,946,1006
86,grails-grails-core.csv,BATCHSTOP4,16,1662283.0,1769150.0,6.040584461464547,0.8946322067594394,997,1006
87,grails-grails-core.csv,BATCHDIVIDE4,4,1192926.0,1769150.0,32.570669530565524,12.92246520874751,876,1006
88,grails-grails-core.csv,BATCHDIVIDE4,8,1472074.0,1769150.0,16.792018766074108,5.964214711729625,946,1006
89,grails-grails-core.csv,BATCHDIVIDE4,16,1642414.0,1769150.0,7.163666167368504,12.92246520874751,876,1006
90,square-wire.csv,BATCHBISECT,2,159014.0,269068.0,40.90192813712519,39.72093023255814,648,1075
91,square-wire.csv,BATCHBISECT,4,112511.0,269068.0,58.18491979722598,57.30232558139535,459,1075
92,square-wire.csv,BATCHBISECT,8,94921.0,269068.0,64.72230068235538,64.0,387,1075
93,square-wire.csv,BATCHBISECT,16,91215.0,269068.0,66.09964767270728,65.58139534883722,370,1075
94,square-wire.csv,BATCHSTOP4,4,98113.0,269068.0,63.53598346886289,60.093023255813954,429,1075
95,square-wire.csv,BATCHSTOP4,8,88169.0,269068.0,67.2317035098934,66.7906976744186,357,1075
96,square-wire.csv,BATCHSTOP4,16,91568.0,269068.0,65.96845407108984,68.37209302325581,340,1075
97,square-wire.csv,BATCHDIVIDE4,4,98113.0,269068.0,63.53598346886289,60.093023255813954,429,1075
98,square-wire.csv,BATCHDIVIDE4,8,88169.0,269068.0,67.2317035098934,66.7906976744186,357,1075
99,square-wire.csv,BATCHDIVIDE4,16,166388.0,269068.0,38.161356980391574,60.093023255813954,429,1075
100,puniverse-quasar.csv,BATCHBISECT,2,535801.0,875477.0,38.79896330800238,35.172413793103445,752,1160
101,puniverse-quasar.csv,BATCHBISECT,4,405231.0,875477.0,53.71311867701836,47.93103448275862,604,1160
102,puniverse-quasar.csv,BATCHBISECT,8,378274.0,875477.0,56.79224011595964,49.741379310344826,583,1160
103,puniverse-quasar.csv,BATCHBISECT,16,386502.0,875477.0,55.8524096007091,48.36206896551724,599,1160
104,puniverse-quasar.csv,BATCHSTOP4,4,349469.0,875477.0,60.082446483459876,50.51724137931034,574,1160
105,puniverse-quasar.csv,BATCHSTOP4,8,361348.0,875477.0,58.72558616616998,52.327586206896555,553,1160
106,puniverse-quasar.csv,BATCHSTOP4,16,402354.0,875477.0,54.04173953170672,50.94827586206897,569,1160
107,puniverse-quasar.csv,BATCHDIVIDE4,4,349469.0,875477.0,60.082446483459876,50.51724137931034,574,1160
108,puniverse-quasar.csv,BATCHDIVIDE4,8,361348.0,875477.0,58.72558616616998,52.327586206896555,553,1160
109,puniverse-quasar.csv,BATCHDIVIDE4,16,564493.0,875477.0,35.52166418992161,50.60344827586207,573,1160
110,dropwizard-dropwizard.csv,BATCHBISECT,2,2300890.0,3760633.0,38.8164173425059,38.25331971399387,1209,1958
111,dropwizard-dropwizard.csv,BATCHBISECT,4,1650957.0,3760633.0,56.09895993573422,54.85188968335036,884,1958
112,dropwizard-dropwizard.csv,BATCHBISECT,8,1413356.0,3760633.0,62.417071806794226,61.1338100102145,761,1958
113,dropwizard-dropwizard.csv,BATCHBISECT,16,1354778.0,3760633.0,63.97473510443587,62.87027579162411,727,1958
114,dropwizard-dropwizard.csv,BATCHSTOP4,4,1384180.0,3760633.0,63.19289864232963,58.22267620020429,818,1958
115,dropwizard-dropwizard.csv,BATCHSTOP4,8,1254633.0,3760633.0,66.63771763955697,64.55566905005108,694,1958
116,dropwizard-dropwizard.csv,BATCHSTOP4,16,1281749.0,3760633.0,65.9166688161275,66.29213483146067,660,1958
117,dropwizard-dropwizard.csv,BATCHDIVIDE4,4,1384180.0,3760633.0,63.19289864232963,58.22267620020429,818,1958
118,dropwizard-dropwizard.csv,BATCHDIVIDE4,8,1254633.0,3760633.0,66.63771763955697,64.55566905005108,694,1958
119,dropwizard-dropwizard.csv,BATCHDIVIDE4,16,2312021.0,3760633.0,38.520429938257735,58.22267620020429,818,1958
120,essentials-Essentials.csv,BATCHBISECT,2,70354.0,58032.0,-21.233112765370834,-21.917808219178085,89,73
121,essentials-Essentials.csv,BATCHBISECT,4,81013.0,58032.0,-39.60056520540391,-41.0958904109589,103,73
122,essentials-Essentials.csv,BATCHBISECT,8,88117.0,58032.0,-51.8420871243452,-53.42465753424656,112,73
123,essentials-Essentials.csv,BATCHBISECT,16,90730.0,58032.0,-56.34477529638821,-57.53424657534248,115,73
124,essentials-Essentials.csv,BATCHSTOP4,4,52662.0,58032.0,9.253515301902397,-13.698630136986296,83,73
125,essentials-Essentials.csv,BATCHSTOP4,8,67225.0,58032.0,-15.841259994485796,-26.027397260273972,92,73
126,essentials-Essentials.csv,BATCHSTOP4,16,73664.0,58032.0,-26.93686242073339,-30.13698630136986,95,73
127,essentials-Essentials.csv,BATCHDIVIDE4,4,52662.0,58032.0,9.253515301902397,-13.698630136986296,83,73
128,essentials-Essentials.csv,BATCHDIVIDE4,8,67225.0,58032.0,-15.841259994485796,-26.027397260273972,92,73
129,essentials-Essentials.csv,BATCHDIVIDE4,16,67248.0,58032.0,-15.880893300248133,-13.698630136986296,83,73
130,mybatis-mybatis-3.csv,BATCHBISECT,2,1714412.0,3043143.0,43.663114089610644,41.68260038240918,1220,2092
131,mybatis-mybatis-3.csv,BATCHBISECT,4,1100339.0,3043143.0,63.84202122608106,61.61567877629063,803,2092
132,mybatis-mybatis-3.csv,BATCHBISECT,8,849369.0,3043143.0,72.08908684212342,70.07648183556405,626,2092
133,mybatis-mybatis-3.csv,BATCHBISECT,16,768609.0,3043143.0,74.7429220381691,73.08795411089866,563,2092
134,mybatis-mybatis-3.csv,BATCHSTOP4,4,981008.0,3043143.0,67.76332890041644,64.8661567877629,735,2092
135,mybatis-mybatis-3.csv,BATCHSTOP4,8,796976.0,3043143.0,73.8107607825199,73.32695984703633,558,2092
136,mybatis-mybatis-3.csv,BATCHSTOP4,16,769770.0,3043143.0,74.70477069266873,76.33843212237093,495,2092
137,mybatis-mybatis-3.csv,BATCHDIVIDE4,4,981008.0,3043143.0,67.76332890041644,64.8661567877629,735,2092
138,mybatis-mybatis-3.csv,BATCHDIVIDE4,8,796976.0,3043143.0,73.8107607825199,73.32695984703633,558,2092
139,mybatis-mybatis-3.csv,BATCHDIVIDE4,16,1742170.0,3043143.0,42.75096503844873,64.81835564053537,736,2092
