,project,algorithm,batch_size,update_method,factor,total_duration,testall_duration,time_saved,builds_made,builds_saved,testall_size
47,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1768800.0,2004584.0,11.762240943756908,1608,2.898550724637687,1656
48,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1792536.0,2004584.0,10.578154869040162,1635,1.2681159420289845,1656
49,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1608228.0,2004584.0,19.772481472465117,1659,-0.18115942028985899,1656
50,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1639655.0,2004584.0,18.204724770825266,1649,0.4227053140096615,1656
51,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1567584.0,2004584.0,21.800034321335502,1599,3.4420289855072497,1656
52,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1650575.0,2004584.0,17.659973341102187,1579,4.649758454106276,1656
53,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1779328.0,2004584.0,11.237044693562353,1619,2.2342995169082087,1656
54,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1767828.0,2004584.0,11.810729807281717,1648,0.4830917874396192,1656
55,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1574099.0,2004584.0,21.47502923299797,1633,1.3888888888888857,1656
56,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1658830.0,2004584.0,17.248167200775825,1658,-0.12077294685990125,1656
57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1721031.0,2004584.0,14.145229134822983,1590,3.9855072463768124,1656
58,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1960817.0,2004584.0,2.1833457714917444,1749,-5.615942028985501,1656
59,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1771716.0,2004584.0,11.616774353182507,1715,-3.562801932367151,1656
60,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1658490.0,2004584.0,17.265128325877086,1568,5.314009661835755,1656
61,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1843107.0,2004584.0,8.055387052874806,1682,-1.5700483091787447,1656
62,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1657238.0,2004584.0,17.3275851747794,1671,-0.9057971014492807,1656
