,project,algorithm,batch_size,update_method,factor,total_duration,testall_duration,time_saved,builds_made,builds_saved,testall_size
47,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1989428.0,2004584.0,0.7560670942200431,1818,3.091684434968016,1876
48,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,2065802.0,2004584.0,-3.0539004601453428,1871,0.2665245202558566,1876
49,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1738375.0,2004584.0,13.280012212010078,1826,2.665245202558637,1876
50,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1834472.0,2004584.0,8.486149744784953,1874,0.10660980810234832,1876
51,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1714264.0,2004584.0,14.482805410000282,1776,5.330490405117274,1876
52,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1825833.0,2004584.0,8.917111979343346,1764,5.97014925373135,1876
53,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1957911.0,2004584.0,2.3283135054455215,1778,5.223880597014926,1876
54,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,2053804.0,2004584.0,-2.4553722867188412,1873,0.1599147121535225,1876
55,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1714806.0,2004584.0,14.455767381162374,1804,3.83795309168444,1876
56,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1841335.0,2004584.0,8.14378444604965,1862,0.7462686567164241,1876
57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1893349.0,2004584.0,5.549031619528037,1783,4.957356076759055,1876
58,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,2185034.0,2004584.0,-9.001867719187615,1950,-3.9445628997867743,1876
59,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1978226.0,2004584.0,1.3148862806447568,1921,-2.3987206823027662,1876
60,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1822349.0,2004584.0,9.090913625969279,1783,4.957356076759055,1876
61,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,2099801.0,2004584.0,-4.749963084610073,1908,-1.7057569296375306,1876
