,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size,time_saved,total_duration,testall_duration
34,p6spy-p6spy.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,783,14.519650655021834,916,47.7897883351161,1211468.0,2320366.0
35,p6spy-p6spy.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,781,14.737991266375545,916,47.624555781286226,1215302.0,2320366.0
36,apache-tajo.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,948,26.340326340326342,1287,,,
37,apache-tajo.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,935,27.350427350427353,1287,,1873337.0,
38,apache-tajo.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,877,31.857031857031856,1287,,,
39,apache-tajo.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,893,30.613830613830615,1287,,,
40,apache-tajo.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,890,30.846930846930846,1287,,,
41,apache-tajo.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,908,29.448329448329446,1287,,,
42,apache-tajo.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,955,25.680933852140072,1285,,,
43,apache-tajo.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,942,26.692607003891055,1285,,,
44,apache-tajo.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,876,31.828793774319067,1285,,,
45,apache-tajo.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,907,29.416342412451357,1285,,,
46,apache-tajo.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,890,30.739299610894946,1285,,,
47,apache-tajo.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,920,28.404669260700388,1285,,,
48,osmdroid-osmdroid.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,962,9.58646616541354,1064,10.104656888376653,10203588.0,11350519.0
49,osmdroid-osmdroid.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,958,9.962406015037601,1064,10.275477271127428,10184199.0,11350519.0
50,osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,965,9.304511278195491,1064,22.979398563184645,8742238.0,11350519.0
51,osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,999,6.109022556390983,1064,17.61104492226302,9351574.0,11350519.0
52,osmdroid-osmdroid.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,958,9.962406015037601,1064,19.208214179457343,9170287.0,11350519.0
53,osmdroid-osmdroid.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,985,7.424812030075188,1064,11.12063686250822,10088269.0,11350519.0
54,osmdroid-osmdroid.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,863,9.253417455310199,951,20.452403982584414,9029065.0,11350519.0
55,osmdroid-osmdroid.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,853,10.304942166140904,951,20.970027890354615,8970312.0,11350519.0
56,osmdroid-osmdroid.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,888,6.624605678233436,951,28.096036842015764,8161473.0,11350519.0
57,osmdroid-osmdroid.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,898,5.573080967402731,951,25.17610868718866,8492900.0,11350519.0
58,osmdroid-osmdroid.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,880,7.465825446898009,951,24.896914405411763,8524590.0,11350519.0
59,osmdroid-osmdroid.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,891,6.3091482649842305,951,19.745361423561334,9109318.0,11350519.0
60,DSpace-DSpace.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,575,63.515228426395936,1576,62.78180113928561,395871.0,1063649.0
61,DSpace-DSpace.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,576,63.45177664974619,1576,58.31359781281231,443397.0,1063649.0
62,DSpace-DSpace.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,559,64.53045685279187,1576,62.525889649687066,398593.0,1063649.0
63,DSpace-DSpace.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,548,65.2284263959391,1576,62.857954080716475,395061.0,1063649.0
64,DSpace-DSpace.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,663,57.931472081218274,1576,37.231455113481985,667637.0,1063649.0
65,DSpace-DSpace.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,658,58.24873096446701,1576,37.037406136798886,669701.0,1063649.0
66,DSpace-DSpace.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,574,62.459123610202745,1529,62.055057636494745,403601.0,1063649.0
67,DSpace-DSpace.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,555,63.70176586003924,1529,63.337529579776785,389960.0,1063649.0
68,DSpace-DSpace.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,561,63.30935251798561,1529,59.12881035003088,434726.0,1063649.0
69,DSpace-DSpace.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,543,64.4865925441465,1529,60.182071341203724,423523.0,1063649.0
70,DSpace-DSpace.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,663,56.6383257030739,1529,36.985509317453406,670253.0,1063649.0
71,DSpace-DSpace.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,642,58.011772400261606,1529,36.83442564229365,671860.0,1063649.0
72,apache-nifi.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,999,21.400472069236827,1271,26.829283206114894,2991685.0,4088637.0
73,apache-nifi.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1002,21.164437450826128,1271,25.691691387618903,3038197.0,4088637.0
74,apache-nifi.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,926,27.143981117230524,1271,39.32948804210303,2480597.0,4088637.0
75,apache-nifi.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,988,22.265932336742722,1271,34.17434709904548,2691372.0,4088637.0
76,apache-nifi.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,924,27.301337529504323,1271,28.684864907302853,2915817.0,4088637.0
77,apache-nifi.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,962,24.311565696302125,1271,23.989119112310533,3107809.0,4088637.0
78,apache-nifi.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,930,21.585160202360882,1186,29.015488535666037,2902299.0,4088637.0
79,apache-nifi.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,931,21.500843170320408,1186,29.866994795576133,2867484.0,4088637.0
80,apache-nifi.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,882,25.63237774030354,1186,36.98560180324152,2576430.0,4088637.0
81,apache-nifi.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,870,26.64418212478921,1186,37.41902252511045,2558709.0,4088637.0
82,apache-nifi.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,872,26.475548060708263,1186,29.36560521269068,2887984.0,4088637.0
83,apache-nifi.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,872,26.475548060708263,1186,25.000116175635057,3066473.0,4088637.0
84,caelum-vraptor4.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,815,42.92717086834734,1428,44.61381847414825,126769.0,228882.0
85,caelum-vraptor4.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,808,43.417366946778714,1428,40.54753104219642,136076.0,228882.0
86,caelum-vraptor4.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,804,43.69747899159664,1428,38.48882830454121,140788.0,228882.0
87,caelum-vraptor4.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,793,44.46778711484594,1428,40.15999510664884,136963.0,228882.0
88,caelum-vraptor4.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,788,44.817927170868344,1428,26.131369002368032,169072.0,228882.0
89,caelum-vraptor4.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,804,43.69747899159664,1428,24.764725928644452,172200.0,228882.0
90,caelum-vraptor4.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,539,43.02325581395349,946,63.326517594218856,83939.0,228882.0
91,caelum-vraptor4.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,553,41.54334038054968,946,60.048409223966935,91442.0,228882.0
92,caelum-vraptor4.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,528,44.18604651162791,946,63.1168025445426,84419.0,228882.0
93,caelum-vraptor4.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,534,43.551797040169134,946,62.4286750377924,85994.0,228882.0
94,caelum-vraptor4.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,526,44.397463002114165,946,53.37553848708068,106715.0,228882.0
95,caelum-vraptor4.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,532,43.76321353065539,946,51.410333709072795,111213.0,228882.0
96,grails-grails-core.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1002,5.649717514124291,1062,11.224334274275776,1654228.0,1863380.0
97,grails-grails-core.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1029,3.10734463276836,1062,5.806759759147354,1755178.0,1863380.0
98,grails-grails-core.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,985,7.250470809792844,1062,22.52508881709582,1443652.0,1863380.0
99,grails-grails-core.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,983,7.438794726930325,1062,21.568171816806014,1461483.0,1863380.0
100,grails-grails-core.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,967,8.945386064030131,1062,20.455033326535656,1482225.0,1863380.0
101,grails-grails-core.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,939,11.581920903954796,1062,16.260988096899183,1560376.0,1863380.0
102,grails-grails-core.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,967,3.876739562624252,1006,11.493737187261857,1649208.0,1863380.0
103,grails-grails-core.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1027,-2.087475149105373,1006,8.021927894471332,1713901.0,1863380.0
104,grails-grails-core.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,934,7.157057654075544,1006,23.53878435960459,1424763.0,1863380.0
105,grails-grails-core.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,949,5.666003976143145,1006,20.512187530187077,1481160.0,1863380.0
106,grails-grails-core.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,896,10.934393638170974,1006,24.386276551213385,1408971.0,1863380.0
107,grails-grails-core.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,912,9.343936381709739,1006,19.256727022936815,1504554.0,1863380.0
108,square-wire.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,363,67.64705882352942,1122,66.202194104909,94426.0,279385.0
109,square-wire.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,359,68.00356506238859,1122,67.50433988939993,90788.0,279385.0
110,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,320,71.4795008912656,1122,70.69277162338707,81880.0,279385.0
111,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,315,71.92513368983957,1122,71.92404746138841,78440.0,279385.0
112,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,416,62.923351158645275,1122,43.67092005655279,157375.0,279385.0
113,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,418,62.745098039215684,1122,43.5968287488591,157582.0,279385.0
114,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,300,72.09302325581396,1075,73.24480555505843,74750.0,279385.0
115,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,326,69.67441860465117,1075,70.5760867619951,82206.0,279385.0
116,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,305,71.62790697674419,1075,70.50521681550549,82404.0,279385.0
117,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,339,68.46511627906978,1075,67.21656495516939,91592.0,279385.0
118,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,402,62.604651162790695,1075,45.34459616658017,152699.0,279385.0
119,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,420,60.93023255813954,1075,43.61436727097016,157533.0,279385.0
120,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,691,45.461720599842145,1267,51.435238631274935,472844.0,973636.0
121,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,671,47.04025256511444,1267,52.51551914678586,462326.0,973636.0
122,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,634,49.96053670086819,1267,54.41150491559474,443866.0,973636.0
123,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,654,48.3820047355959,1267,53.286649220037056,454818.0,973636.0
124,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,633,50.03946329913181,1267,36.55555053428591,617718.0,973636.0
125,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,660,47.90844514601421,1267,33.93547485918762,643228.0,973636.0
126,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,632,45.51724137931034,1160,60.8075297133631,381592.0,973636.0
127,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,670,42.241379310344826,1160,60.59379480627257,383673.0,973636.0
128,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,593,48.87931034482759,1160,62.86599920298757,361550.0,973636.0
129,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,621,46.46551724137931,1160,60.990965822956426,379806.0,973636.0
130,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,596,48.62068965517241,1160,48.84926194183453,498022.0,973636.0
131,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,635,45.258620689655174,1160,46.28454576453623,522993.0,973636.0
132,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,652,67.72277227722773,2020,67.23723733064585,1263952.0,3857892.0
133,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,666,67.02970297029702,2020,66.98805980053356,1273565.0,3857892.0
