,Build_Result,Actual_Result,Index
0,0,0,1
1,0,0,2
2,0,0,3
3,0,0,4
4,1,1,5
5,1,1,6
6,0,1,7
7,0,1,8
8,0,1,9
9,0,1,10
10,0,1,11
11,0,1,12
12,1,1,13
13,1,1,14
14,0,1,15
15,0,1,16
16,1,0,17
17,1,0,18
18,1,0,19
19,1,0,20
20,0,1,21
21,0,1,22
22,1,1,23
23,1,1,24
24,1,1,25
25,1,1,26
26,0,1,27
27,0,1,28
28,0,1,29
29,0,1,30
30,0,1,31
31,0,1,32
32,1,1,33
33,1,1,34
34,1,1,35
35,1,1,36
36,0,1,37
37,0,1,38
38,1,0,39
39,1,0,40
40,0,1,41
41,0,1,42
42,1,1,43
43,1,1,44
44,1,1,45
45,1,1,46
46,1,1,47
47,1,1,48
48,0,0,49
49,0,0,50
50,1,0,51
51,1,0,52
52,1,0,53
53,1,0,54
54,0,0,55
55,0,0,56
56,0,0,57
57,0,0,58
58,1,1,59
59,1,1,60
60,0,1,61
61,0,1,62
62,0,1,63
63,0,1,64
64,0,1,65
65,0,1,66
66,1,1,67
67,1,1,68
68,0,1,69
69,0,1,70
70,0,1,71
71,0,1,72
72,1,1,73
73,1,1,74
74,0,1,75
75,0,1,76
76,1,1,77
77,1,1,78
78,1,1,79
79,1,1,80
80,0,1,81
81,0,1,82
82,0,1,83
83,0,1,84
84,0,1,85
85,0,1,86
86,1,1,87
87,1,1,88
88,1,1,89
89,1,1,90
90,0,1,91
91,0,1,92
92,0,1,93
93,0,1,94
94,0,1,95
95,0,1,96
96,1,1,97
97,1,1,98
98,0,1,99
99,0,1,100
100,0,1,101
101,0,1,102
102,0,1,103
103,0,1,104
104,0,1,105
105,0,1,106
106,1,1,107
107,1,1,108
108,1,0,109
109,1,0,110
110,1,1,111
111,1,1,112
112,1,1,113
113,1,1,114
114,1,0,115
115,1,0,116
116,1,1,117
117,1,1,118
118,1,1,119
119,1,1,120
120,1,1,121
121,1,1,122
122,0,1,123
123,0,1,124
124,0,1,125
125,0,1,126
126,0,0,127
127,0,0,128
128,0,1,129
129,0,1,130
130,1,1,131
131,1,1,132
132,1,1,133
133,1,1,134
134,1,1,135
135,1,1,136
136,0,0,137
137,0,0,138
