project,algorithm,batch_size,builds_saved,median_delay,testall_size
nutzam-nutz.csv,BATCHSTOP4,-1,23.215067893123077,3.0,4566
CloudSlang-cloud-slang.csv,BATCHSTOP4,-1,42.144060657118786,4.0,4748
geotools-geotools.csv,BATCHSTOP4,-1,20.862131684248823,3.0,5498
CloudifySource-cloudify.csv,BATCHSTOP4,-1,30.484784147204536,3.0,5652
SpongePowered-SpongeCommon.csv,BATCHSTOP4,-1,35.05482844004244,4.0,5654
apache-zeppelin.csv,BATCHSTOP4,-1,10.033670033670035,2.0,5940
typetools-checker-framework.csv,BATCHSTOP4,-1,28.299758259468177,3.0,6205
geoserver-geoserver.csv,BATCHSTOP4,-1,6.112616681722372,2.0,6642
ngageoint-geowave.csv,BATCHSTOP4,-1,46.72514619883041,5.0,6840
sparklemotion-nokogiri.csv,BATCHSTOP4,-1,53.25112107623318,3.0,7136
Graylog2-graylog2-server.csv,BATCHSTOP4,-1,61.81237160465647,6.0,8762
cloudfoundry-uaa.csv,BATCHSTOP4,-1,69.10340166704214,6.0,8878
apache-jackrabbit-oak.csv,BATCHSTOP4,-1,-1.8542336548767366,2.0,9330
apache-pdfbox.csv,BATCHSTOP4,-1,-4.770938063169879,2.0,10543
apache-sling.csv,BATCHSTOP4,-1,-23.37192958971957,2.0,14941
SonarSource-sonar-java.csv,BATCHSTOP4,-1,44.634689083941154,5.0,16178
killbill-killbill.csv,BATCHSTOP4,-1,7.203107658157606,2.0,18020
checkstyle-checkstyle.csv,BATCHSTOP4,-1,80.89935668640065,7.0,46789
