project,algorithm,batch_size,update_method,factor,"num_of_builds, builds_saved",testall_size
osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,3,1394,16.17558628983764,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,2,1535,7.696933253156942,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,3,1500,9.801563439567047,1663
osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,2,1533,7.817197835237522,1663
osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,3,1559,6.253758268190012,1663
osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,2,1340,19.422730006013225,1663
osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,3,1357,18.400481058328324,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,2,1535,7.696933253156942,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,3,1500,9.801563439567047,1663
osmdroid-osmdroid.csv,BATCHBISECT,-1,random_linear,-1,1589,4.449789536981356,1663
osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_linear,-1,1332,19.903788334335545,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_linear,-1,1511,9.140108238123872,1663
osmdroid-osmdroid.csv,BATCHBISECT,-1,random_exponential,-1,1709,-2.7660853878532805,1663
osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_exponential,-1,1371,17.55862898376428,1663
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_exponential,-1,1480,11.004209260372818,1663
DSpace-DSpace.csv,BATCHBISECT,-1,linear,2,875,56.271864067966014,2001
DSpace-DSpace.csv,BATCHBISECT,-1,linear,3,874,56.32183908045977,2001
DSpace-DSpace.csv,BATCHBISECT,-1,linear,4,885,55.77211394302849,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,linear,2,732,63.41829085457271,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,linear,3,730,63.51824087956022,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,linear,4,740,63.01849075462269,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,2,930,53.523238380809595,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,3,946,52.723638180909546,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,4,927,53.673163418290855,2001
DSpace-DSpace.csv,BATCHBISECT,-1,exponential,2,866,56.721639180409795,2001
DSpace-DSpace.csv,BATCHBISECT,-1,exponential,3,867,56.67166416791604,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,2,740,63.01849075462269,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,3,731,63.468265867066464,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,2,883,55.87206396801599,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,3,804,59.82008995502249,2001
DSpace-DSpace.csv,BATCHBISECT,-1,stagger,2,838,58.120939530234885,2001
DSpace-DSpace.csv,BATCHBISECT,-1,stagger,3,848,57.62118940529735,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,2,711,64.46776611694153,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,3,710,64.51774112943528,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,2,965,51.77411294352824,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,3,925,53.77311344327836,2001
DSpace-DSpace.csv,BATCHBISECT,-1,random_linear,-1,870,56.52173913043478,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,random_linear,-1,727,63.66816591704148,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,random_linear,-1,932,53.42328835582209,2001
DSpace-DSpace.csv,BATCHBISECT,-1,random_exponential,-1,905,54.772613693153424,2001
DSpace-DSpace.csv,BATCHSTOP4,-1,random_exponential,-1,714,64.31784107946027,2001
DSpace-DSpace.csv,BATCHDIVIDE4,-1,random_exponential,-1,822,58.920539730134934,2001
apache-nifi.csv,BATCHBISECT,-1,linear,2,1764,10.36585365853658,1968
apache-nifi.csv,BATCHBISECT,-1,linear,3,1691,14.075203252032523,1968
apache-nifi.csv,BATCHBISECT,-1,linear,4,1722,12.5,1968
apache-nifi.csv,BATCHSTOP4,-1,linear,2,1305,33.6890243902439,1968
apache-nifi.csv,BATCHSTOP4,-1,linear,3,1326,32.6219512195122,1968
apache-nifi.csv,BATCHSTOP4,-1,linear,4,1353,31.25,1968
apache-nifi.csv,BATCHDIVIDE4,-1,linear,2,1578,19.817073170731703,1968
apache-nifi.csv,BATCHDIVIDE4,-1,linear,3,1533,22.10365853658537,1968
apache-nifi.csv,BATCHDIVIDE4,-1,linear,4,1567,20.3760162601626,1968
apache-nifi.csv,BATCHBISECT,-1,exponential,2,1681,14.583333333333329,1968
apache-nifi.csv,BATCHBISECT,-1,exponential,3,1734,11.890243902439025,1968
apache-nifi.csv,BATCHSTOP4,-1,exponential,2,1318,33.02845528455285,1968
apache-nifi.csv,BATCHSTOP4,-1,exponential,3,1385,29.6239837398374,1968
apache-nifi.csv,BATCHDIVIDE4,-1,exponential,2,1534,22.05284552845528,1968
apache-nifi.csv,BATCHDIVIDE4,-1,exponential,3,1522,22.662601626016254,1968
apache-nifi.csv,BATCHBISECT,-1,stagger,2,1614,17.987804878048777,1968
apache-nifi.csv,BATCHBISECT,-1,stagger,3,1633,17.02235772357723,1968
apache-nifi.csv,BATCHSTOP4,-1,stagger,2,1331,32.367886178861795,1968
apache-nifi.csv,BATCHSTOP4,-1,stagger,3,1335,32.16463414634147,1968
apache-nifi.csv,BATCHDIVIDE4,-1,stagger,2,1568,20.325203252032523,1968
apache-nifi.csv,BATCHDIVIDE4,-1,stagger,3,1525,22.51016260162602,1968
apache-nifi.csv,BATCHBISECT,-1,random_linear,-1,1696,13.82113821138212,1968
apache-nifi.csv,BATCHSTOP4,-1,random_linear,-1,1329,32.46951219512195,1968
apache-nifi.csv,BATCHDIVIDE4,-1,random_linear,-1,1550,21.23983739837398,1968
apache-nifi.csv,BATCHBISECT,-1,random_exponential,-1,1728,12.195121951219505,1968
apache-nifi.csv,BATCHSTOP4,-1,random_exponential,-1,1359,30.945121951219505,1968
apache-nifi.csv,BATCHDIVIDE4,-1,random_exponential,-1,1537,21.900406504065046,1968
caelum-vraptor4.csv,BATCHBISECT,-1,linear,2,845,42.63408010862186,1473
caelum-vraptor4.csv,BATCHBISECT,-1,linear,3,836,43.245078071961984,1473
caelum-vraptor4.csv,BATCHBISECT,-1,linear,4,822,44.19551934826884,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,linear,2,676,54.10726408689749,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,linear,3,681,53.76782077393075,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,linear,4,674,54.24304141208418,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,linear,2,816,44.60285132382892,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,linear,3,812,44.87440597420231,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,linear,4,782,46.911065852002714,1473
caelum-vraptor4.csv,BATCHBISECT,-1,exponential,2,809,45.078071961982346,1473
caelum-vraptor4.csv,BATCHBISECT,-1,exponential,3,865,41.27630685675492,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,exponential,2,666,54.78615071283096,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,exponential,3,702,52.342158859470466,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,exponential,2,817,44.534962661235575,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,exponential,3,757,48.60828241683639,1473
caelum-vraptor4.csv,BATCHBISECT,-1,stagger,2,797,45.89273591310251,1473
caelum-vraptor4.csv,BATCHBISECT,-1,stagger,3,824,44.059742023082144,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,stagger,2,663,54.989816700611,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,stagger,3,675,54.175152749490834,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,stagger,2,828,43.788187372708755,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,stagger,3,847,42.498302783435165,1473
caelum-vraptor4.csv,BATCHBISECT,-1,random_linear,-1,841,42.90563475899525,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,random_linear,-1,684,53.564154786150716,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,random_linear,-1,873,40.73319755600814,1473
caelum-vraptor4.csv,BATCHBISECT,-1,random_exponential,-1,895,39.23964697895452,1473
caelum-vraptor4.csv,BATCHSTOP4,-1,random_exponential,-1,692,53.02104548540394,1473
caelum-vraptor4.csv,BATCHDIVIDE4,-1,random_exponential,-1,762,48.26883910386965,1473
grails-grails-core.csv,BATCHBISECT,-1,linear,2,2051,4.8259860788863165,2155
grails-grails-core.csv,BATCHBISECT,-1,linear,3,2067,4.0835266821345755,2155
