project,algorithm,ci_skip,batch_size,builds_saved,median_delay,testall_size
apache-sling.csv,BATCHSTOP4,0,-1,-0.3733446041138455,-1,14196
mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,69.28327645051195,-1,2051
apache-pdfbox.csv,BATCHSTOP4,0,-1,14.536453645364533,-1,8888
structr-structr.csv,BATCHSTOP4,0,-1,16.956882255389715,-1,2412
orbeon-orbeon-forms.csv,BATCHSTOP4,0,-1,15.935787000783087,-1,2554
puniverse-quasar.csv,BATCHSTOP4,0,-1,46.70094258783205,-1,1167
grails-grails-core.csv,BATCHSTOP4,0,-1,3.9501039501039448,-1,962
SpongePowered-SpongeCommon.csv,BATCHSTOP4,0,-1,48.74135546334717,-1,3615
killbill-killbill.csv,BATCHSTOP4,0,-1,31.60819177647246,-1,6299
square-wire.csv,BATCHSTOP4,0,-1,66.04696673189824,-1,1022
nutzam-nutz.csv,BATCHSTOP4,0,-1,23.492490472988116,-1,4461
rackerlabs-blueflood.csv,BATCHSTOP4,0,-1,42.125237191650854,-1,2108
yegor256-takes.csv,BATCHSTOP4,0,-1,42.068155111633374,-1,2553
geotools-geotools.csv,BATCHSTOP4,0,-1,29.021479713603814,-1,4190
CloudifySource-cloudify.csv,BATCHSTOP4,0,-1,38.66877971473851,-1,5048
dreamhead-moco.csv,BATCHSTOP4,0,-1,39.049826187717265,-1,4315
osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,6.120331950207469,-1,964
naver-pinpoint.csv,BATCHSTOP4,0,-1,59.79431929480901,-1,2042
SonarSource-sonar-java.csv,BATCHSTOP4,0,-1,51.63495593443703,-1,12141
apache-zeppelin.csv,BATCHSTOP4,0,-1,16.086860181697315,-1,4513
geoserver-geoserver.csv,BATCHSTOP4,0,-1,16.695124264845383,-1,5271
apache-jackrabbit-oak.csv,BATCHSTOP4,0,-1,12.814003206841262,-1,7484
JabRef-jabref.csv,BATCHSTOP4,0,-1,59.268645908761776,-1,2762
linkedin-gobblin.csv,BATCHSTOP4,0,-1,17.77251184834123,-1,3376
sakaiproject-sakai.csv,BATCHSTOP4,0,-1,56.2618339193941,-1,3697
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,0,-1,-6.321839080459779,-1,1740
checkstyle-checkstyle.csv,BATCHSTOP4,0,-1,78.42548721137148,-1,46643
jOOQ-jOOQ.csv,BATCHSTOP4,0,-1,47.29931363772009,-1,3351
apache-nifi.csv,BATCHSTOP4,0,-1,19.38514090520922,-1,1171
