index,duration,total_builds
16,0,2
32,0,0
48,0,1
64,0,0
80,0,0
96,0,0
112,0,0
128,0,2
144,0,2
160,0,1
176,0,0
192,0,0
208,0,3
224,0,0
240,0,0
256,0,0
272,0,0
288,0,0
