index,duration,total_builds
8,0,0
16,0,0
24,0,0
32,0,0
40,0,0
48,0,0
56,0,0
64,0,0
72,0,0
80,0,1
88,0,2
96,0,3
104,0,0
112,0,0
120,0,0
128,0,0
136,0,0
144,0,3
152,0,0
160,0,4
168,0,1
176,0,5
184,0,0
192,0,4
200,0,0
208,0,0
216,0,3
224,0,0
232,0,0
240,0,0
