project,algorithm,ci_skip,batch_size,duration,builds_saved,median_delay,testall_size
SpongePowered-SpongeForge.csv,BATCHBISECT,0,-1,427814.0,40.37663581232046,-1,3133
DSpace-DSpace.csv,BATCHBISECT,0,-1,174824.0,61.6751269035533,-1,1576
essentials-Essentials.csv,BATCHBISECT,0,-1,52976.0,-6.741573033707859,-1,89
xetorthio-jedis.csv,BATCHBISECT,0,-1,122364.0,47.73869346733668,-1,1592
samtools-htsjdk.csv,BATCHBISECT,0,-1,129092.0,63.779988297249844,-1,1709
caelum-vraptor4.csv,BATCHBISECT,0,-1,35805.0,43.13725490196079,-1,1428
cloudfoundry-uaa.csv,BATCHBISECT,0,-1,271326.0,64.6853146853147,-1,286
keycloak-keycloak.csv,BATCHBISECT,0,-1,1255680.0,48.645161290322584,-1,2325
open-keychain-open-keychain.csv,BATCHBISECT,0,-1,615296.0,30.398205272013456,-1,1783
ratpack-ratpack.csv,BATCHBISECT,0,-1,329724.0,2.238805970149249,-1,1876
apache-tajo.csv,BATCHBISECT,0,-1,1095768.0,24.16472416472416,-1,1287
Graylog2-graylog2-server.csv,BATCHBISECT,0,-1,348810.0,62.682308180088775,-1,3154
typetools-checker-framework.csv,BATCHBISECT,0,-1,15030492.0,34.92237043516291,-1,4573
dropwizard-dropwizard.csv,BATCHBISECT,0,-1,525189.0,65.84158415841583,-1,2020
ngageoint-geowave.csv,BATCHBISECT,0,-1,10063521.0,52.04498977505112,-1,2934
FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,243451.0,39.535921463632306,-1,2241
okhttp.csv,BATCHBISECT,0,-1,885465.0,6.377417668583374,-1,1913
sparklemotion-nokogiri.csv,BATCHBISECT,0,-1,2964736.0,46.37034494594131,-1,5827
gradle.csv,BATCHBISECT,0,-1,879504.0,45.25934188510876,-1,3586
CloudSlang-cloud-slang.csv,BATCHBISECT,0,-1,718061.0,40.94052558782849,-1,2169
floragunncom-search-guard.csv,BATCHBISECT,0,-1,1978100.0,61.25410733844468,-1,3652
apache-sling.csv,BATCHBISECT,0,-1,87514713.0,0.46866256295466924,-1,14296
cloudify.csv,BATCHBISECT,0,-1,2181294.0,34.741144414168936,-1,5138
mybatis-mybatis-3.csv,BATCHBISECT,0,-1,490781.0,67.78242677824268,-1,2151
apache-pdfbox.csv,BATCHBISECT,0,-1,4533760.0,11.003560302625726,-1,8988
structr-structr.csv,BATCHBISECT,0,-1,11336.0,14.251592356687903,-1,2512
orbeon-orbeon-forms.csv,BATCHBISECT,0,-1,2996912.0,14.016578749058029,-1,2654
puniverse-quasar.csv,BATCHBISECT,0,-1,377178.0,44.83030781373323,-1,1267
p6spy-p6spy.csv,BATCHBISECT,0,-1,1350050.0,17.85714285714286,-1,1288
grails-grails-core.csv,BATCHBISECT,0,-1,1168850.0,5.932203389830503,-1,1062
SpongePowered-SpongeCommon.csv,BATCHBISECT,0,-1,358182.0,43.391655450874836,-1,3715
killbill-killbill.csv,BATCHBISECT,0,-1,138389656.0,29.41084544460072,-1,6399
junit-team-junit5.csv,BATCHBISECT,0,-1,98175.0,63.85613207547169,-1,1696
square-wire.csv,BATCHBISECT,0,-1,45425.0,66.0427807486631,-1,1122
nutzam-nutz.csv,BATCHBISECT,0,-1,3274228.0,19.732514799386102,-1,4561
rackerlabs-blueflood.csv,BATCHBISECT,0,-1,3325757.0,36.322463768115945,-1,2208
yegor256-takes.csv,BATCHBISECT,0,-1,1060014.0,39.8039954768187,-1,2653
geotools-geotools.csv,BATCHBISECT,0,-1,8588124.0,27.109557109557116,-1,4290
CloudifySource-cloudify.csv,BATCHBISECT,0,-1,2184002.0,34.82905982905983,-1,5148
android.csv,BATCHBISECT,0,-1,377728.0,61.224489795918366,-1,882
dreamhead-moco.csv,BATCHBISECT,0,-1,4753168.0,35.44733861834655,-1,4415
osmdroid-osmdroid.csv,BATCHBISECT,0,-1,10040550.0,14.473684210526317,-1,1064
naver-pinpoint.csv,BATCHBISECT,0,-1,233752.0,59.38375350140056,-1,2142
SonarSource-sonar-java.csv,BATCHBISECT,0,-1,3538584.0,46.744547014132834,-1,12241
apache-zeppelin.csv,BATCHBISECT,0,-1,48164168.0,13.331888142206804,-1,4613
geoserver-geoserver.csv,BATCHBISECT,0,-1,10428410.0,12.679203127909144,-1,5371
