project,ci_skip,batch_size,builds_saved,method
osmdroid-osmdroid.csv,0,-1,4.135338346,new_dynamic
DSpace-DSpace.csv,0,-1,63.83248731,new_dynamic
apache-nifi.csv,0,-1,18.72541306,new_dynamic
caelum-vraptor4.csv,0,-1,44.81792717,new_dynamic
grails-grails-core.csv,0,-1,5.838041431,new_dynamic
square-wire.csv,0,-1,72.81639929,new_dynamic
puniverse-quasar.csv,0,-1,49.56590371,new_dynamic
dropwizard-dropwizard.csv,0,-1,65.64356436,new_dynamic
essentials-Essentials.csv,0,-1,-22.47191011,new_dynamic
mybatis-mybatis-3.csv,0,-1,70.24639702,new_dynamic
naver-pinpoint.csv,0,-1,58.1232493,new_dynamic
FasterXML-jackson-databind.csv,0,-1,41.32083891,new_dynamic
samtools-htsjdk.csv,0,-1,65.59391457,new_dynamic
deeplearning4j-deeplearning4j.csv,0,-1,-0.869565217,new_dynamic
open-keychain-open-keychain.csv,0,-1,31.35165451,new_dynamic
yegor256-takes.csv,0,-1,41.23633622,new_dynamic
keycloak-keycloak.csv,0,-1,50.66666667,new_dynamic
rackerlabs-blueflood.csv,0,-1,39.7192029,new_dynamic
xetorthio-jedis.csv,0,-1,50.25125628,new_dynamic
orbeon-orbeon-forms.csv,0,-1,12.84853052,new_dynamic
linkedin-gobblin.csv,0,-1,6.818181818,new_dynamic
JabRef-jabref.csv,0,-1,59.25925926,new_dynamic
jOOQ-jOOQ.csv,0,-1,44.39292959,new_dynamic
structr-structr.csv,0,-1,9.792993631,new_dynamic
floragunncom-search-guard.csv,0,-1,65.74479737,new_dynamic
SpongePowered-SpongeForge.csv,0,-1,43.98340249,new_dynamic
sakaiproject-sakai.csv,0,-1,55.30682117,new_dynamic
dreamhead-moco.csv,0,-1,36.398641,new_dynamic
nutzam-nutz.csv,0,-1,15.76408682,new_dynamic
CloudSlang-cloud-slang.csv,0,-1,42.36975565,new_dynamic
geotools-geotools.csv,0,-1,28.34498834,new_dynamic
CloudifySource-cloudify.csv,0,-1,35.8974359,new_dynamic
SpongePowered-SpongeCommon.csv,0,-1,43.28398385,new_dynamic
apache-zeppelin.csv,0,-1,4.617385649,new_dynamic
typetools-checker-framework.csv,0,-1,34.44128581,new_dynamic
geoserver-geoserver.csv,0,-1,11.89722584,new_dynamic
ngageoint-geowave.csv,0,-1,53.81731425,new_dynamic
sparklemotion-nokogiri.csv,0,-1,46.31886048,new_dynamic
Graylog2-graylog2-server.csv,0,-1,67.24793912,new_dynamic
cloudfoundry-uaa.csv,0,-1,67.48251748,new_dynamic
apache-jackrabbit-oak.csv,0,-1,3.467827004,new_dynamic
apache-pdfbox.csv,0,-1,5.818869604,new_dynamic
apache-sling.csv,0,-1,0.118914382,new_dynamic
SonarSource-sonar-java.csv,0,-1,43.67290254,new_dynamic
killbill-killbill.csv,0,-1,28.20753243,new_dynamic
checkstyle-checkstyle.csv,0,-1,77.65868686,new_dynamic
BuildCraft-BuildCraft.csv,1,-1,-0.255623722,new_dynamic
apache-tajo.csv,1,-1,23.67491166,new_dynamic
osmdroid-osmdroid.csv,1,-1,17.79744346,new_dynamic
DSpace-DSpace.csv,1,-1,59.35984481,new_dynamic
apache-nifi.csv,1,-1,19.98083373,new_dynamic
caelum-vraptor4.csv,1,-1,61.57063197,new_dynamic
grails-grails-core.csv,1,-1,13.25033348,new_dynamic
square-wire.csv,1,-1,74.67076383,new_dynamic
puniverse-quasar.csv,1,-1,36.55021834,new_dynamic
dropwizard-dropwizard.csv,1,-1,68.40277778,new_dynamic
essentials-Essentials.csv,1,-1,59.13154534,new_dynamic
mybatis-mybatis-3.csv,1,-1,72.71228359,new_dynamic
naver-pinpoint.csv,1,-1,58.1147541,new_dynamic
FasterXML-jackson-databind.csv,1,-1,37.73584906,new_dynamic
samtools-htsjdk.csv,1,-1,68.6751497,new_dynamic
deeplearning4j-deeplearning4j.csv,1,-1,-0.706582373,new_dynamic
open-keychain-open-keychain.csv,1,-1,32.7147016,new_dynamic
yegor256-takes.csv,1,-1,54.52006981,new_dynamic
keycloak-keycloak.csv,1,-1,54.64646465,new_dynamic
rackerlabs-blueflood.csv,1,-1,41.49311118,new_dynamic
xetorthio-jedis.csv,1,-1,51.74160861,new_dynamic
orbeon-orbeon-forms.csv,1,-1,19.76463488,new_dynamic
linkedin-gobblin.csv,1,-1,16.23812186,new_dynamic
JabRef-jabref.csv,1,-1,56.43700247,new_dynamic
jOOQ-jOOQ.csv,1,-1,44.6722417,new_dynamic
structr-structr.csv,1,-1,8.492063492,new_dynamic
floragunncom-search-guard.csv,1,-1,61.90353366,new_dynamic
SpongePowered-SpongeForge.csv,1,-1,40.68441065,new_dynamic
sakaiproject-sakai.csv,1,-1,59.67428294,new_dynamic
dreamhead-moco.csv,1,-1,44.48951995,new_dynamic
nutzam-nutz.csv,1,-1,23.89399912,new_dynamic
CloudSlang-cloud-slang.csv,1,-1,45.1979781,new_dynamic
geotools-geotools.csv,1,-1,30.39287013,new_dynamic
CloudifySource-cloudify.csv,1,-1,32.80254777,new_dynamic
SpongePowered-SpongeCommon.csv,1,-1,36.50512911,new_dynamic
apache-zeppelin.csv,1,-1,16.75084175,new_dynamic
typetools-checker-framework.csv,1,-1,32.44157937,new_dynamic
geoserver-geoserver.csv,1,-1,11.95423065,new_dynamic
ngageoint-geowave.csv,1,-1,42.10526316,new_dynamic
sparklemotion-nokogiri.csv,1,-1,57.72141256,new_dynamic
Graylog2-graylog2-server.csv,1,-1,64.36886556,new_dynamic
cloudfoundry-uaa.csv,1,-1,65.63415184,new_dynamic
apache-jackrabbit-oak.csv,1,-1,1.329046088,new_dynamic
apache-pdfbox.csv,1,-1,2.949824528,new_dynamic
apache-sling.csv,1,-1,0.54882538,new_dynamic
SonarSource-sonar-java.csv,1,-1,44.79540116,new_dynamic
killbill-killbill.csv,1,-1,17.2863485,new_dynamic
checkstyle-checkstyle.csv,1,-1,81.37596444,new_dynamic
apache-tajo.csv,0,2,18.57031857,baseline_static
apache-tajo.csv,0,4,22.2999223,baseline_static
apache-tajo.csv,0,8,20.82362082,baseline_static
apache-tajo.csv,0,16,18.18181818,baseline_static
osmdroid-osmdroid.csv,0,2,-10.33834586,baseline_static
osmdroid-osmdroid.csv,0,4,-18.60902256,baseline_static
osmdroid-osmdroid.csv,0,8,-24.90601504,baseline_static
osmdroid-osmdroid.csv,0,16,-29.41729323,baseline_static
DSpace-DSpace.csv,0,2,40.4822335,baseline_static
DSpace-DSpace.csv,0,4,57.10659898,baseline_static
DSpace-DSpace.csv,0,8,62.75380711,baseline_static
DSpace-DSpace.csv,0,16,63.51522843,baseline_static
apache-nifi.csv,0,2,13.13926042,baseline_static
apache-nifi.csv,0,4,13.61132966,baseline_static
apache-nifi.csv,0,8,10.07081039,baseline_static
apache-nifi.csv,0,16,6.372934697,baseline_static
caelum-vraptor4.csv,0,2,32.07282913,baseline_static
caelum-vraptor4.csv,0,4,42.08683473,baseline_static
caelum-vraptor4.csv,0,8,43.20728291,baseline_static
caelum-vraptor4.csv,0,16,41.31652661,baseline_static
grails-grails-core.csv,0,2,4.048964218,baseline_static
grails-grails-core.csv,0,4,-2.071563089,baseline_static
grails-grails-core.csv,0,8,-8.945386064,baseline_static
grails-grails-core.csv,0,16,-13.46516008,baseline_static
square-wire.csv,0,2,44.29590018,baseline_static
square-wire.csv,0,4,63.90374332,baseline_static
square-wire.csv,0,8,71.21212121,baseline_static
square-wire.csv,0,16,72.99465241,baseline_static
puniverse-quasar.csv,0,2,35.59589582,baseline_static
puniverse-quasar.csv,0,4,48.46093133,baseline_static
puniverse-quasar.csv,0,8,50.82872928,baseline_static
puniverse-quasar.csv,0,16,49.32912391,baseline_static
dropwizard-dropwizard.csv,0,2,38.41584158,baseline_static
dropwizard-dropwizard.csv,0,4,55.2970297,baseline_static
dropwizard-dropwizard.csv,0,8,61.93069307,baseline_static
dropwizard-dropwizard.csv,0,16,63.61386139,baseline_static
essentials-Essentials.csv,0,2,-22.47191011,baseline_static
essentials-Essentials.csv,0,4,-40.4494382,baseline_static
essentials-Essentials.csv,0,8,-52.80898876,baseline_static
essentials-Essentials.csv,0,16,-57.30337079,baseline_static
mybatis-mybatis-3.csv,0,2,40.30683403,baseline_static
mybatis-mybatis-3.csv,0,4,58.9958159,baseline_static
mybatis-mybatis-3.csv,0,8,66.75964668,baseline_static
mybatis-mybatis-3.csv,0,16,69.17712692,baseline_static
naver-pinpoint.csv,0,2,34.50046685,baseline_static
naver-pinpoint.csv,0,4,49.11297852,baseline_static
naver-pinpoint.csv,0,8,54.52847806,baseline_static
naver-pinpoint.csv,0,16,55.55555556,baseline_static
FasterXML-jackson-databind.csv,0,2,18.56314145,baseline_static
