project,method,algorithm,batch_size,builds_saved,testall_size,confidence
p6spy-p6spy.csv,ssr,BATCHSTOP4,-1,62.91865921020508,836,18
p6spy-p6spy.csv,ssr,BATCHDIVIDE4,-1,59.21052551269531,836,18
p6spy-p6spy.csv,ssr,BATCHBISECT,-1,62.58012771606445,1248,18
ratpack-ratpack.csv,ssr,BATCHSTOP4,-1,39.427860260009766,804,19
ratpack-ratpack.csv,ssr,BATCHDIVIDE4,-1,38.93034744262695,804,19
ratpack-ratpack.csv,ssr,BATCHBISECT,-1,52.422359466552734,805,18
apache-sling.csv,ssr,BATCHSTOP4,-1,-39.87005615234375,13544,3
apache-sling.csv,ssr,BATCHDIVIDE4,-1,-39.87005615234375,13544,3
apache-sling.csv,ssr,BATCHBISECT,-1,0.0664520263671875,13544,3
nutzam-nutz.csv,ssr,BATCHSTOP4,-1,65.5982894897461,468,18
nutzam-nutz.csv,ssr,BATCHDIVIDE4,-1,65.5982894897461,468,18
nutzam-nutz.csv,ssr,BATCHBISECT,-1,53.114986419677734,2809,20
cloudfoundry-uaa.csv,ssr,BATCHSTOP4,-1,85.1666669845581,1800,18
cloudfoundry-uaa.csv,ssr,BATCHDIVIDE4,-1,85.11111068725586,1800,18
cloudfoundry-uaa.csv,ssr,BATCHBISECT,-1,80.88888931274414,900,17
SonarSource-sonar-java.csv,ssr,BATCHSTOP4,-1,77.2356071472168,4898,19
SonarSource-sonar-java.csv,ssr,BATCHDIVIDE4,-1,74.76521110534668,4898,20
SonarSource-sonar-java.csv,ssr,BATCHBISECT,-1,68.19571876525879,1635,20
dropwizard-dropwizard.csv,ssr,BATCHSTOP4,-1,91.46644592285156,1207,20
dropwizard-dropwizard.csv,ssr,BATCHDIVIDE4,-1,91.46644592285156,1207,20
dropwizard-dropwizard.csv,ssr,BATCHBISECT,-1,89.1143913269043,2168,20
apache-nifi.csv,ssr,BATCHSTOP4,-1,48.28375244140625,437,20
apache-nifi.csv,ssr,BATCHDIVIDE4,-1,47.59725570678711,437,20
apache-nifi.csv,ssr,BATCHBISECT,-1,58.03876876831055,877,20
Graylog2-graylog2-server.csv,ssr,BATCHSTOP4,-1,87.54929542541504,1775,20
Graylog2-graylog2-server.csv,ssr,BATCHDIVIDE4,-1,84.78873252868652,1775,14
Graylog2-graylog2-server.csv,ssr,BATCHBISECT,-1,84.8872184753418,2660,18
apache-jackrabbit-oak.csv,ssr,BATCHSTOP4,-1,28.258567810058594,2831,17
apache-jackrabbit-oak.csv,ssr,BATCHDIVIDE4,-1,27.304840087890625,2831,17
apache-jackrabbit-oak.csv,ssr,BATCHBISECT,-1,37.19533920288086,2831,20
sakaiproject-sakai.csv,ssr,BATCHSTOP4,-1,75.76953506469727,1267,20
sakaiproject-sakai.csv,ssr,BATCHDIVIDE4,-1,73.16495704650879,1267,20
sakaiproject-sakai.csv,ssr,BATCHBISECT,-1,82.47331047058105,3372,20
samtools-htsjdk.csv,ssr,BATCHSTOP4,-1,84.6428575515747,280,16
samtools-htsjdk.csv,ssr,BATCHDIVIDE4,-1,84.6428575515747,280,16
samtools-htsjdk.csv,ssr,BATCHBISECT,-1,88.478346824646,2517,20
caelum-vraptor4.csv,ssr,BATCHSTOP4,-1,83.66666603088379,900,20
caelum-vraptor4.csv,ssr,BATCHDIVIDE4,-1,77.66666603088379,900,20
caelum-vraptor4.csv,ssr,BATCHBISECT,-1,82.51851844787598,1350,18
sparklemotion-nokogiri.csv,ssr,BATCHSTOP4,-1,55.93913269042969,4403,20
sparklemotion-nokogiri.csv,ssr,BATCHDIVIDE4,-1,54.553714752197266,4403,20
sparklemotion-nokogiri.csv,ssr,BATCHBISECT,-1,64.13106918334961,5127,20
killbill-killbill.csv,ssr,BATCHSTOP4,-1,17.40087890625,3632,18
killbill-killbill.csv,ssr,BATCHDIVIDE4,-1,15.253303527832031,3632,18
killbill-killbill.csv,ssr,BATCHBISECT,-1,24.15765380859375,12762,20
CloudSlang-cloud-slang.csv,ssr,BATCHSTOP4,-1,72.23360633850098,976,19
CloudSlang-cloud-slang.csv,ssr,BATCHDIVIDE4,-1,66.80327987670898,976,19
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,-1,78.53092765808105,3880,18
rackerlabs-blueflood.csv,ssr,BATCHSTOP4,-1,79.71163749694824,971,19
rackerlabs-blueflood.csv,ssr,BATCHDIVIDE4,-1,76.41606521606445,971,19
rackerlabs-blueflood.csv,ssr,BATCHBISECT,-1,77.91505813598633,2590,20
DSpace-DSpace.csv,ssr,BATCHSTOP4,-1,76.04166603088379,864,20
DSpace-DSpace.csv,ssr,BATCHDIVIDE4,-1,76.04166603088379,864,20
DSpace-DSpace.csv,ssr,BATCHBISECT,-1,77.93209838867188,1296,20
yegor256-takes.csv,ssr,BATCHSTOP4,-1,85.5704698562622,298,11
yegor256-takes.csv,ssr,BATCHDIVIDE4,-1,85.5704698562622,298,11
yegor256-takes.csv,ssr,BATCHBISECT,-1,77.46478843688965,1491,20
square-wire.csv,ssr,BATCHSTOP4,-1,88.77980327606201,713,14
