project,method,batch,reqd_builds,delay
geoserver-geoserver.csv,sbs,2,91.86390532544378,28
geoserver-geoserver.csv,sbs,4,91.86390532544378,28
geoserver-geoserver.csv,sbs,8,91.86390532544378,28
geoserver-geoserver.csv,sbs,16,91.86390532544378,28
geoserver-geoserver.csv,sbs,32,91.86390532544378,28
ngageoint-geowave.csv,sbs,1,6.609195402298851,7292
ngageoint-geowave.csv,sbs,2,6.609195402298851,7292
ngageoint-geowave.csv,sbs,4,6.609195402298851,7292
ngageoint-geowave.csv,sbs,8,6.609195402298851,7292
ngageoint-geowave.csv,sbs,16,6.609195402298851,7292
ngageoint-geowave.csv,sbs,32,6.609195402298851,7292
sparklemotion-nokogiri.csv,sbs,1,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,2,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,4,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,8,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,16,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,32,38.820301783264746,6238
Graylog2-graylog2-server.csv,sbs,1,0.7882882882882883,10258
Graylog2-graylog2-server.csv,sbs,2,0.7882882882882883,10258
Graylog2-graylog2-server.csv,sbs,4,0.7882882882882883,10258
Graylog2-graylog2-server.csv,sbs,8,0.7882882882882883,10258
Graylog2-graylog2-server.csv,sbs,16,0.7882882882882883,10258
Graylog2-graylog2-server.csv,sbs,32,0.7882882882882883,10258
cloudfoundry-uaa.csv,sbs,1,0.44052863436123346,25948
cloudfoundry-uaa.csv,sbs,2,0.44052863436123346,25948
cloudfoundry-uaa.csv,sbs,4,0.44052863436123346,25948
cloudfoundry-uaa.csv,sbs,8,0.44052863436123346,25948
cloudfoundry-uaa.csv,sbs,16,0.44052863436123346,25948
cloudfoundry-uaa.csv,sbs,32,0.44052863436123346,25948
apache-jackrabbit-oak.csv,sbs,1,36.79745493107105,485
apache-jackrabbit-oak.csv,sbs,2,36.79745493107105,485
apache-jackrabbit-oak.csv,sbs,4,36.79745493107105,485
apache-jackrabbit-oak.csv,sbs,8,36.79745493107105,485
apache-jackrabbit-oak.csv,sbs,16,36.79745493107105,485
apache-jackrabbit-oak.csv,sbs,32,36.79745493107105,485
apache-pdfbox.csv,sbs,1,97.65917602996255,1
apache-pdfbox.csv,sbs,2,97.65917602996255,1
apache-pdfbox.csv,sbs,4,97.65917602996255,1
apache-pdfbox.csv,sbs,8,97.65917602996255,1
apache-pdfbox.csv,sbs,16,97.65917602996255,1
